metric,internal_a_mean,internal_a_sd,internal_a_defined_runs,internal_a_attempted_runs,internal_b_mean,internal_b_sd,internal_b_defined_runs,internal_b_attempted_runs,internal_a_minus_b,external_a_mean,external_a_sd,external_a_defined_runs,external_a_attempted_runs,external_b_mean,external_b_sd,external_b_defined_runs,external_b_attempted_runs,external_a_minus_b,ordering_change,gap_change,internal_a_floor_limited_runs,internal_a_conservative_upper,internal_b_floor_limited_runs,internal_b_conservative_upper,external_a_floor_limited_runs,external_a_conservative_upper,external_b_floor_limited_runs,external_b_conservative_upper
primary_fp_per_image,0.23200000000000004,0.08017758068465551,5,5,0.15173333333333333,0.08822395744165339,5,5,0.08026666666666671,0.04766666666666667,0.02351240807176784,5,5,0.027066666666666666,0.016677329922182786,5,5,0.020600000000000004,unchanged,weakened,,,,,,,,
secondary_precision,0.36864672419325617,0.06321077781392645,5,5,0.2630968734200093,0.035971753855000045,5,5,0.10554985077324686,0.011366700598324193,0.008377068719436555,5,5,0.004498603922322275,0.0045102311534754485,5,5,0.006868096676001917,unchanged,weakened,,,,,,,,
secondary_recall,0.33880597014925373,0.05673605316044241,5,5,0.29253731343283584,0.08863805773804101,5,5,0.04626865671641789,0.018947368421052633,0.013724636642531892,5,5,0.010526315789473684,0.010526315789473684,5,5,0.008421052631578949,unchanged,weakened,,,,,,,,
secondary_f1,0.3458411446819327,0.022247382429770132,5,5,0.26571344101685773,0.03667573107321162,5,5,0.08012770366507499,0.01404606012459995,0.010080769435224901,5,5,0.006276916110041888,0.006255460556565769,5,5,0.007769144014558061,unchanged,weakened,,,,,,,,
secondary_fp_per_image,0.22053333333333333,0.08291146549851298,5,5,0.3104,0.13512594947759748,5,5,-0.08986666666666668,0.0442,0.022239354507019506,5,5,0.06006666666666667,0.025861167800391383,5,5,-0.015866666666666668,unchanged,weakened,,,,,,,,
primary_detections_per_image,0.3573333333333334,0.09516301802696256,5,5,0.22133333333333333,0.12757220177870518,5,5,0.13600000000000007,0.048266666666666666,0.0238600083822282,5,5,0.027200000000000002,0.01672423391369542,5,5,0.021066666666666664,unchanged,weakened,,,,,,,,
primary_percent_images_with_detections,25.573333333333334,6.065860752330758,5,5,14.213333333333335,7.978081083680323,5,5,11.36,4.26,2.050257436410256,5,5,2.14,1.3396516960264957,5,5,2.1199999999999997,unchanged,weakened,,,,,,,,
secondary_detections_per_image,0.3416,0.10144905672854289,5,5,0.4149333333333334,0.16600508693678304,5,5,-0.07333333333333336,0.0448,0.02259744331654456,5,5,0.060399999999999995,0.026103852418965116,5,5,-0.015599999999999996,unchanged,weakened,,,,,,,,
secondary_percent_images_with_detections,24.666666666666668,6.7323431615184655,5,5,22.08,5.63055158142709,5,5,2.5866666666666696,3.986666666666667,1.981665965797465,5,5,4.4,1.7456294630368216,5,5,-0.41333333333333355,reversed,reversed,,,,,,,,
ap_scores_mean,0.06939946832125521,0.024568598515826514,5,5,0.0762921396646947,0.07423617502122797,5,5,-0.006892671343439488,0.03669597574037037,0.00928178621930525,5,5,0.048209535341964566,0.0564499857646263,5,5,-0.011513559601594198,unchanged,strengthened,,,,,,,,
ap_scores_median,0.004393804376013577,0.0007602242666564703,5,5,0.01090613892301917,0.011293088976042982,5,5,-0.006512334547005593,0.0033635654021054507,0.0003366292363520135,5,5,0.0058685302734375,0.005433131779023938,5,5,-0.0025049648713320496,unchanged,weakened,,,,,,,,
ap_scores_detections_per_image,16.32613333333334,12.039006810272092,5,5,1.0808,0.3334887637620727,5,5,15.245333333333338,11.5028,10.52735803513873,5,5,0.21719999999999998,0.0693704227719246,5,5,11.2856,unchanged,weakened,,,,,,,,
