dataset,detector,seed,support,score_floor,images,detections_per_image,zero_detection_images,percent_zero_detection_images,detection_count,min,max,mean,median,q_0.01,q_0.05,q_0.25,q_0.5,q_0.75,q_0.95,q_0.99
external,yolo11s,17,all_retained_candidates,1e-05,3000,5.356,47,1.5666666666666667,16068,1.0132789611816406e-05,0.61328125,0.0017183374707188984,3.123283386230469e-05,1.0132789611816406e-05,1.0788440704345703e-05,1.6689300537109375e-05,3.123283386230469e-05,8.487701416015625e-05,0.0010986328125,0.024901123046874973
external,yolo11s,17,ap_candidates,0.001,3000,0.282,2513,83.76666666666667,846,0.00102996826171875,0.61328125,0.03122725610755578,0.00421142578125,0.00102996826171875,0.0010986328125,0.00180816650390625,0.00421142578125,0.015869140625,0.14990234375,0.5007812499999993
external,yolo11s,17,historical_threshold,0.05,3000,0.037,2913,97.1,111,0.05029296875,0.61328125,0.189233178490991,0.11572265625,0.0520751953125,0.056640625,0.079833984375,0.11572265625,0.27734375,0.5234375,0.609375
external,yolo11s,17,posthoc_n5_threshold,0.01,3000,0.08933333333333333,2814,93.8,268,0.010009765625,0.61328125,0.09148873855818564,0.03515625,0.010009765625,0.010986328125,0.0179443359375,0.03515625,0.090576171875,0.3811523437499995,0.5989062499999998
external,yolo11s,42,all_retained_candidates,1e-05,3000,4.296333333333333,126,4.2,12889,1.0132789611816406e-05,0.5234375,0.001637135269532924,2.586841583251953e-05,1.0132789611816406e-05,1.0132789611816406e-05,1.4722347259521484e-05,2.586841583251953e-05,6.628036499023438e-05,0.0007781982421875,0.023725585937499627
external,yolo11s,42,ap_candidates,0.001,3000,0.18566666666666667,2674,89.13333333333333,557,0.00102996826171875,0.5234375,0.036457931545949285,0.00433349609375,0.00102996826171875,0.0010986328125,0.00159454345703125,0.00433349609375,0.0203857421875,0.2374999999999996,0.4453125
external,yolo11s,42,historical_threshold,0.05,3000,0.028,2942,98.06666666666666,84,0.05029296875,0.5234375,0.19772193545386904,0.1494140625,0.05090087890625,0.058349609375,0.087890625,0.1494140625,0.28564453125,0.45195312499999996,0.49101562500000007
external,yolo11s,42,posthoc_n5_threshold,0.01,3000,0.06566666666666666,2862,95.39999999999999,197,0.010009765625,0.5234375,0.09759676395939086,0.037353515625,0.010009765625,0.0113525390625,0.018310546875,0.037353515625,0.11572265625,0.41093749999999996,0.47687499999999994
external,yolo11s,137,all_retained_candidates,1e-05,3000,0.7963333333333333,1880,62.66666666666667,2389,1.0132789611816406e-05,0.87109375,0.020516552127719974,3.314018249511719e-05,1.0132789611816406e-05,1.0132789611816406e-05,1.5735626220703125e-05,3.314018249511719e-05,0.000148773193359375,0.0700195312499996,0.5946874999999991
external,yolo11s,137,ap_candidates,0.001,3000,0.111,2770,92.33333333333333,333,0.00102996826171875,0.87109375,0.14670200748844547,0.01544189453125,0.00104217529296875,0.00136566162109375,0.0029754638671875,0.01544189453125,0.2255859375,0.6476562499999998,0.80859375
external,yolo11s,137,historical_threshold,0.05,3000,0.044,2894,96.46666666666667,132,0.051025390625,0.87109375,0.35703901811079547,0.294921875,0.0542236328125,0.06103515625,0.15283203125,0.294921875,0.56640625,0.7435546874999999,0.828125
external,yolo11s,137,posthoc_n5_threshold,0.01,3000,0.06066666666666667,2861,95.36666666666666,182,0.010009765625,0.87109375,0.2655217097355769,0.17431640625,0.0108587646484375,0.0128387451171875,0.04412841796875,0.17431640625,0.4765625,0.6787109374999998,0.828125
external,yolo11s,271,all_retained_candidates,1e-05,3000,15.168,0,0.0,45504,1.0132789611816406e-05,0.03857421875,0.00014160159954332266,3.123283386230469e-05,1.0132789611816406e-05,1.0132789611816406e-05,1.5735626220703125e-05,3.123283386230469e-05,9.012222290039062e-05,0.00040435791015625,0.00170135498046875
external,yolo11s,271,ap_candidates,0.001,3000,0.2613333333333333,2544,84.8,784,0.00102996826171875,0.03857421875,0.0036863794132154814,0.001983642578125,0.00102996826171875,0.00102996826171875,0.00136566162109375,0.001983642578125,0.00360107421875,0.0128173828125,0.029075927734374965
external,yolo11s,271,historical_threshold,0.05,3000,0.0,3000,100.0,0,,,,,,,,,,,
external,yolo11s,271,posthoc_n5_threshold,0.01,3000,0.018,2955,98.5,54,0.010009765625,0.03857421875,0.01890846535011574,0.015655517578125,0.0101715087890625,0.01068115234375,0.0128173828125,0.015655517578125,0.02294921875,0.03371582031249999,0.036762695312499996
external,yolo11s,314,all_retained_candidates,1e-05,3000,7.7443333333333335,2,0.06666666666666667,23233,1.0132789611816406e-05,0.421875,0.0007972127011120615,2.9325485229492188e-05,1.0132789611816406e-05,1.0132789611816406e-05,1.5735626220703125e-05,2.9325485229492188e-05,7.486343383789062e-05,0.000518798828125,0.008056640625
external,yolo11s,314,ap_candidates,0.001,3000,0.246,2560,85.33333333333334,738,0.00102996826171875,0.421875,0.0229741021546568,0.0033721923828125,0.00102996826171875,0.0010986328125,0.00159454345703125,0.0033721923828125,0.0128173828125,0.1306152343749999,0.3177148437499999
external,yolo11s,314,historical_threshold,0.05,3000,0.027,2930,97.66666666666667,81,0.05029296875,0.421875,0.15366391782407407,0.11767578125,0.05146484375,0.056640625,0.0771484375,0.11767578125,0.197265625,0.3515625,0.39531250000000007
external,yolo11s,314,posthoc_n5_threshold,0.01,3000,0.06833333333333333,2848,94.93333333333334,205,0.010009765625,0.421875,0.07479575552591464,0.03369140625,0.01002197265625,0.011059570312500001,0.0185546875,0.03369140625,0.08740234375,0.29335937499999987,0.37671875000000005
