dataset,detector,seed,images,target_boxes,positive_images,patient_groups,ap50,ap50_95,froc_0.125,froc_0.25,froc_0.5,froc_1,froc_2,primary_precision,primary_recall,primary_f1,primary_fp_per_image,images_at_collection_cap,floor_fp_per_image,floor_sensitivity,floor_limited_0.125,floor_limited_0.25,floor_limited_0.5,floor_limited_1,floor_limited_2,primary_threshold,primary_tp,primary_fp,primary_fn,primary_detections,primary_detections_per_image,primary_percent_images_with_detections,secondary_threshold,secondary_tp,secondary_fp,secondary_fn,secondary_precision,secondary_recall,secondary_f1,secondary_fp_per_image,secondary_detections,secondary_detections_per_image,secondary_percent_images_with_detections
external,faster_rcnn,17,3000,95,84,,0.0011723208373017183,0.00041848042690111064,0.042105263157894736,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.08421052631578947,0.012295081967213115,0.031578947368421054,0.017699115044247787,0.08033333333333334,3000,99.98266666666666,0.5473684210526316,False,False,False,False,False,0.69,3,241,92,244,0.08133333333333333,7.2,0.7,3,217,92,0.013636363636363636,0.031578947368421054,0.01904761904761905,0.07233333333333333,220,0.07333333333333333,6.566666666666666
external,faster_rcnn,42,3000,95,84,,0.003998918176216499,0.0007212474652078087,0.06315789473684211,0.1368421052631579,0.14736842105263157,0.17894736842105263,0.23157894736842105,0.011834319526627219,0.021052631578947368,0.015151515151515152,0.05566666666666667,2635,99.16933333333333,0.6105263157894737,False,False,False,False,False,0.69,2,167,93,169,0.05633333333333333,4.8,0.7,2,159,93,0.012422360248447204,0.021052631578947368,0.015625,0.053,161,0.05366666666666667,4.666666666666667
external,faster_rcnn,137,3000,95,84,,0.0012163793591473539,0.0004570539164221204,0.010526315789473684,0.042105263157894736,0.06315789473684211,0.08421052631578947,0.1368421052631579,0.0,0.0,0.0,0.015333333333333332,3000,99.981,0.6,False,False,False,False,False,0.69,0,46,95,46,0.015333333333333332,1.5,0.7,0,33,95,0.0,0.0,0.0,0.011,33,0.011,1.0666666666666667
external,faster_rcnn,271,3000,95,84,,0.0038801276032866686,0.0008023821199715208,0.10526315789473684,0.11578947368421053,0.11578947368421053,0.15789473684210525,0.18947368421052632,0.022388059701492536,0.031578947368421054,0.026200873362445413,0.043666666666666666,3000,99.98233333333333,0.5578947368421052,False,False,False,False,False,0.69,3,131,92,134,0.04466666666666667,3.8666666666666667,0.7,3,128,92,0.022900763358778626,0.031578947368421054,0.02654867256637168,0.042666666666666665,131,0.043666666666666666,3.7666666666666666
external,faster_rcnn,314,3000,95,84,,0.002257744103303907,0.0006918089173887636,0.06315789473684211,0.08421052631578947,0.09473684210526316,0.11578947368421053,0.17894736842105263,0.007633587786259542,0.010526315789473684,0.008849557522123894,0.043333333333333335,209,82.78533333333333,0.5263157894736842,False,False,False,False,False,0.69,1,130,94,131,0.043666666666666666,3.933333333333333,0.7,1,126,94,0.007874015748031496,0.010526315789473684,0.009009009009009009,0.042,127,0.042333333333333334,3.8666666666666667
external,yolo11s,17,3000,95,84,,0.0007582470309287738,0.0001291416343232809,0.021052631578947368,0.05263157894736842,0.08421052631578947,0.10526315789473684,0.14736842105263157,0.009009009009009009,0.010526315789473684,0.009708737864077669,0.03666666666666667,0,5.349333333333333,0.21052631578947367,False,False,False,False,False,0.05,1,110,94,111,0.037,2.9,0.01,2,266,93,0.007462686567164179,0.021052631578947368,0.011019283746556474,0.08866666666666667,268,0.08933333333333333,6.2
external,yolo11s,42,3000,95,84,,0.0005824111822947001,0.00023296447291788004,0.021052631578947368,0.021052631578947368,0.08421052631578947,0.09473684210526316,0.10526315789473684,0.0,0.0,0.0,0.028,0,4.291333333333333,0.15789473684210525,False,False,False,False,False,0.05,0,84,95,84,0.028,1.9333333333333333,0.01,2,195,93,0.01015228426395939,0.021052631578947368,0.0136986301369863,0.065,197,0.06566666666666666,4.6
external,yolo11s,137,3000,95,84,,8.182636445462728e-05,4.909581867277637e-05,0.010526315789473684,0.042105263157894736,0.06315789473684211,0.09473684210526316,0.09473684210526316,0.0,0.0,0.0,0.044,0,0.7933333333333333,0.09473684210526316,False,False,False,True,True,0.05,0,132,95,132,0.044,3.533333333333333,0.01,0,182,95,0.0,0.0,0.0,0.06066666666666667,182,0.06066666666666667,4.633333333333334
external,yolo11s,271,3000,95,84,,0.00039197630033997044,4.59329974482895e-05,0.021052631578947368,0.021052631578947368,0.031578947368421054,0.031578947368421054,0.05263157894736842,0.0,0.0,0.0,0.0,0,15.16,0.25263157894736843,False,False,False,False,False,0.05,0,0,95,0,0.0,0.0,0.01,0,54,95,0.0,0.0,0.0,0.018,54,0.018,1.5
external,yolo11s,314,3000,95,84,,0.0006890073498583076,0.00013952293916208433,0.021052631578947368,0.031578947368421054,0.042105263157894736,0.06315789473684211,0.09473684210526316,0.012345679012345678,0.010526315789473684,0.011363636363636364,0.02666666666666667,0,7.738333333333333,0.18947368421052632,False,False,False,False,False,0.05,1,80,94,81,0.027,2.3333333333333335,0.01,1,204,94,0.004878048780487805,0.010526315789473684,0.006666666666666667,0.068,205,0.06833333333333333,5.066666666666666
