dataset,estimand,metric,bootstrap_resamples,a_estimate,a_ci_low,a_ci_high,a_valid,a_undefined,b_estimate,b_ci_low,b_ci_high,b_valid,b_undefined,difference_estimate,difference_ci_low,difference_ci_high,difference_valid,difference_undefined,reason
internal,training_procedure,primary_fp_per_image,2000,0.23200000000000004,0.14967898987309322,0.325481704024806,2000,0,0.15173333333333333,0.06566588840250362,0.24403522474323427,2000,0,0.08026666666666671,-0.016500976412673094,0.18014085013412975,2000,0,
internal,checkpoint_conditional_seed17,ap50,2000,0.2955726614421415,0.2275749765116597,0.37211950553378387,2000,0,0.184171740556827,0.11824448760769715,0.24574169530575538,2000,0,0.1114009208853145,0.06040864340888232,0.17355296689887165,2000,0,
internal,checkpoint_conditional_seed17,ap50_95,2000,0.09835622019400879,0.07123346712135618,0.12975896116675725,2000,0,0.0606930966637053,0.03714054590425153,0.08588477161855582,2000,0,0.03766312353030349,0.017911945576831238,0.06041353338753845,2000,0,
internal,checkpoint_conditional_seed17,froc_0.125,2000,0.27611940298507465,0.20795579814434884,0.3458556352371659,2000,0,0.19776119402985073,0.13565529232775483,0.24907310205140237,2000,0,0.07835820895522391,0.0267857142857143,0.13710283123355946,2000,0,
internal,checkpoint_conditional_seed17,froc_0.25,2000,0.3358208955223881,0.26584100753467044,0.41225005955689664,2000,0,0.26492537313432835,0.2087841945288754,0.33181818181818185,2000,0,0.07089552238805974,0.012550993723849354,0.12096845941912525,2000,0,
internal,checkpoint_conditional_seed17,froc_0.5,2000,0.44776119402985076,0.38524590163934425,0.5200040322580645,2000,0,0.3805970149253731,0.31774411859490814,0.44528730703259006,2000,0,0.06716417910447764,0.0043840744101633555,0.13514137214137212,2000,0,
internal,checkpoint_conditional_seed17,froc_1,2000,0.585820895522388,0.527071993890586,0.6409313494679348,2000,0,0.5223880597014925,0.44654111423597165,0.5785138724911452,2000,0,0.06343283582089554,0.020161290322580627,0.12631578947368416,2000,0,
internal,checkpoint_conditional_seed17,froc_2,2000,0.6828358208955224,0.6308377283127158,0.7313459205738094,2000,0,0.6194029850746269,0.5476127819548873,0.6834631264060915,2000,0,0.06343283582089554,0.002617291085877558,0.1307074556541019,2000,0,
internal,checkpoint_conditional_seed17,primary_precision,2000,0.29545454545454547,0.23402187805428168,0.34557327198526666,2000,0,0.29411764705882354,0.2234005442850074,0.3537944935099691,2000,0,0.0013368983957219305,-0.03707205746226747,0.039464674859430046,2000,0,
internal,checkpoint_conditional_seed17,primary_recall,2000,0.3880597014925373,0.29961007404488665,0.4662200036359229,2000,0,0.26119402985074625,0.1782163992261295,0.32861387076155835,2000,0,0.12686567164179108,0.07250209296400104,0.1875,2000,0,
internal,checkpoint_conditional_seed17,primary_f1,2000,0.33548387096774196,0.2663561803160344,0.39184632686137655,2000,0,0.27667984189723316,0.20231051503539652,0.33386919915450053,2000,0,0.0588040290705088,0.02173212445597823,0.10133238391889293,2000,0,
internal,checkpoint_conditional_seed17,primary_fp_per_image,2000,0.33066666666666666,0.24998219373219377,0.423125835897727,2000,0,0.224,0.14904421151649536,0.308101158496965,2000,0,0.10666666666666666,0.05082023809523809,0.15929257765052923,2000,0,
external,training_procedure,ap50,2000,0.0025050980158512295,0.0008795349545872909,0.007484223898814517,2000,0,0.0005006936455752758,4.3345442616742864e-05,0.0023431557460348354,2000,0,0.0020044043702759536,0.0003306033126865859,0.006689352372639503,2000,0,
external,training_procedure,ap50_95,2000,0.0006181945691782648,0.00020205174479056702,0.0019482863181604995,2000,0,0.00011933157250486222,1.0506994896468106e-05,0.0005717693674400205,2000,0,0.0004988629966734026,7.465065457710987e-05,0.0017190880710603756,2000,0,
external,training_procedure,froc_0.125,2000,0.056842105263157895,0.01568627450980392,0.11251358695652167,2000,0,0.01894736842105263,0.001866289555664868,0.044449838187702234,2000,0,0.037894736842105266,-0.0021276595744680812,0.09245333739095152,2000,0,
