detector,fp_per_image_query,seed_count,sensitivity,sensitivity_std,achieved_fp_per_image,achieved_fp_per_image_std,candidate_floor_limited_run_count,candidate_floor_limited_seeds
faster_rcnn,0.19466666666666665,5,0.3291044776119403,0.02100848994068545,0.19013333333333335,0.004580150409951374,0,
faster_rcnn,0.196,5,0.33059701492537313,0.020197565078693077,0.19413333333333335,0.0027648588471103673,0,
faster_rcnn,0.19733333333333333,5,0.3313432835820896,0.020505420394080726,0.1944,0.0030404678002643715,0,
faster_rcnn,0.19866666666666666,5,0.332089552238806,0.01956732925690581,0.19493333333333335,0.0035777087639996645,0,
faster_rcnn,0.2,5,0.332089552238806,0.01956732925690581,0.19493333333333335,0.0035777087639996645,0,
faster_rcnn,0.20133333333333334,5,0.33432835820895523,0.021041600268465202,0.19706666666666667,0.005112077203381556,0,
faster_rcnn,0.20266666666666666,5,0.33432835820895523,0.021041600268465202,0.19706666666666667,0.005112077203381556,0,
faster_rcnn,0.204,5,0.33432835820895523,0.021041600268465202,0.19706666666666667,0.005112077203381556,0,
faster_rcnn,0.20533333333333334,5,0.3358208955223881,0.02254299621939285,0.2,0.00659966329107445,0,
faster_rcnn,0.20666666666666667,5,0.3365671641791045,0.02321243435073998,0.20026666666666665,0.006889605697474039,0,
faster_rcnn,0.208,5,0.33805970149253733,0.023242405227458855,0.20266666666666663,0.007944250191875323,0,
faster_rcnn,0.20933333333333334,5,0.34029850746268664,0.024239375774495094,0.20693333333333333,0.0033199732261303305,0,
faster_rcnn,0.21066666666666667,5,0.34029850746268664,0.024239375774495094,0.20693333333333333,0.0033199732261303305,0,
faster_rcnn,0.212,5,0.341044776119403,0.02483516610790109,0.20800000000000002,0.003999999999999999,0,
faster_rcnn,0.21333333333333335,5,0.341044776119403,0.02483516610790109,0.20800000000000002,0.003999999999999999,0,
faster_rcnn,0.21466666666666667,5,0.3417910447761194,0.023833909586076573,0.20906666666666668,0.005024384981711139,0,
faster_rcnn,0.216,5,0.34253731343283583,0.0249470367917116,0.2104,0.0059179576056459056,0,
faster_rcnn,0.21733333333333332,5,0.3440298507462687,0.025770592014674628,0.21466666666666664,0.0038873012632302008,0,
faster_rcnn,0.21866666666666668,5,0.3455223880597015,0.025113908463378867,0.21706666666666666,0.0017384539747207085,0,
faster_rcnn,0.22,5,0.34701492537313433,0.026119402985074626,0.21786666666666665,0.0024221202832779933,0,
faster_rcnn,0.22133333333333333,5,0.3492537313432836,0.028490461446001595,0.2192,0.0027648588471103574,0,
faster_rcnn,0.22266666666666668,5,0.3514925373134329,0.02721579481912009,0.22026666666666667,0.00331997322613033,0,
faster_rcnn,0.224,5,0.3514925373134329,0.02721579481912009,0.22026666666666667,0.00331997322613033,0,
faster_rcnn,0.22533333333333333,5,0.35298507462686574,0.02497492616519628,0.22240000000000001,0.001977652929892177,0,
faster_rcnn,0.22666666666666666,5,0.35298507462686574,0.02497492616519628,0.22240000000000001,0.001977652929892177,0,
faster_rcnn,0.228,5,0.3544776119402985,0.02503061168843048,0.22426666666666667,0.0035777087639996645,0,
faster_rcnn,0.22933333333333333,5,0.35522388059701493,0.024095349688004385,0.22453333333333333,0.003955305859784352,0,
faster_rcnn,0.23066666666666666,5,0.3559701492537313,0.024553259516958355,0.22666666666666666,0.0037712361663282453,0,
faster_rcnn,0.232,5,0.3567164179104477,0.025662311737387162,0.22746666666666665,0.004482063017059092,0,
faster_rcnn,0.23333333333333334,5,0.3582089552238806,0.02516928649856724,0.23013333333333336,0.004482063017059093,0,
faster_rcnn,0.23466666666666666,5,0.3582089552238806,0.02516928649856724,0.23013333333333336,0.004482063017059093,0,
faster_rcnn,0.236,5,0.3582089552238806,0.02516928649856724,0.23013333333333336,0.004482063017059093,0,
faster_rcnn,0.23733333333333334,5,0.358955223880597,0.026305308555245623,0.23120000000000002,0.0055457691581561105,0,
faster_rcnn,0.23866666666666667,5,0.3597014925373134,0.026855304799174,0.23226666666666668,0.006491019437140308,0,
faster_rcnn,0.24,5,0.3597014925373134,0.026855304799174,0.23226666666666668,0.006491019437140308,0,
faster_rcnn,0.24133333333333334,5,0.3604477611940299,0.025932164707304552,0.23466666666666666,0.007302967433402213,0,
faster_rcnn,0.24266666666666667,5,0.3604477611940299,0.025932164707304552,0.23466666666666666,0.007302967433402213,0,
faster_rcnn,0.244,5,0.36268656716417913,0.025499029198910273,0.24106666666666668,0.0030404678002643637,0,
faster_rcnn,0.24533333333333332,5,0.3649253731343284,0.024807119609842766,0.2429333333333333,0.0028905977851571662,0,
faster_rcnn,0.24666666666666667,5,0.3649253731343284,0.024807119609842766,0.2429333333333333,0.0028905977851571662,0,
faster_rcnn,0.248,5,0.3649253731343284,0.024807119609842766,0.2429333333333333,0.0028905977851571662,0,
faster_rcnn,0.24933333333333332,5,0.36641791044776123,0.027215794819120096,0.2437333333333333,0.004044200236827488,0,
faster_rcnn,0.25,5,0.36641791044776123,0.027215794819120096,0.2437333333333333,0.004044200236827488,0,
faster_rcnn,0.25066666666666665,5,0.36641791044776123,0.027215794819120096,0.2437333333333333,0.004044200236827488,0,
faster_rcnn,0.252,5,0.36641791044776123,0.027215794819120096,0.2437333333333333,0.004044200236827488,0,
faster_rcnn,0.25333333333333335,5,0.3694029850746269,0.028539288322347672,0.2490666666666667,0.005917957605645914,0,
faster_rcnn,0.25466666666666665,5,0.3701492537313433,0.0290709719116156,0.24933333333333335,0.006182412330330471,0,
faster_rcnn,0.256,5,0.3701492537313433,0.0290709719116156,0.24933333333333335,0.006182412330330471,0,
faster_rcnn,0.25733333333333336,5,0.3701492537313433,0.0290709719116156,0.24933333333333335,0.006182412330330471,0,
faster_rcnn,0.25866666666666666,5,0.37313432835820903,0.0267774255492674,0.25466666666666665,0.006394442031083623,0,
faster_rcnn,0.26,5,0.3746268656716418,0.024974926165196285,0.2552,0.006837803415977648,0,
faster_rcnn,0.2613333333333333,5,0.37537313432835817,0.02426807842016284,0.2554666666666667,0.007093032575077534,0,
faster_rcnn,0.26266666666666666,5,0.3761194029850746,0.024947036791711612,0.2562666666666667,0.007740226812639991,0,
faster_rcnn,0.264,5,0.376865671641791,0.024891164298743162,0.2602666666666667,0.004152643067305974,0,
faster_rcnn,0.2653333333333333,5,0.376865671641791,0.024891164298743162,0.2602666666666667,0.004152643067305974,0,
faster_rcnn,0.26666666666666666,5,0.37910447761194027,0.02538959080030448,0.2645333333333333,0.0030695638488590195,0,
faster_rcnn,0.268,5,0.3813432835820896,0.026039322869205808,0.2653333333333333,0.00377123616632826,0,
faster_rcnn,0.2693333333333333,5,0.3813432835820896,0.026039322869205808,0.2653333333333333,0.00377123616632826,0,
faster_rcnn,0.27066666666666667,5,0.3813432835820896,0.026039322869205808,0.2653333333333333,0.00377123616632826,0,
faster_rcnn,0.272,5,0.3813432835820896,0.026039322869205808,0.2653333333333333,0.00377123616632826,0,
faster_rcnn,0.2733333333333333,5,0.38208955223880603,0.026594820419709637,0.26746666666666663,0.004770278351999544,0,
faster_rcnn,0.27466666666666667,5,0.3843283582089552,0.02779788139132712,0.2704,0.006491019437140309,0,
faster_rcnn,0.276,5,0.3843283582089552,0.02779788139132712,0.2704,0.006491019437140309,0,
faster_rcnn,0.2773333333333333,5,0.3858208955223881,0.028975027848234587,0.2728,0.007278583500776622,0,
faster_rcnn,0.2786666666666667,5,0.3858208955223881,0.028975027848234587,0.2728,0.007278583500776622,0,
faster_rcnn,0.28,5,0.3865671641791045,0.029094908491967053,0.2733333333333333,0.007774602526460401,0,
faster_rcnn,0.2813333333333333,5,0.3888059701492538,0.028466016601135295,0.27973333333333333,0.002890597785157169,0,
faster_rcnn,0.2826666666666667,5,0.3888059701492538,0.028466016601135295,0.27973333333333333,0.002890597785157169,0,
faster_rcnn,0.284,5,0.391044776119403,0.029309458039784304,0.28159999999999996,0.004044200236827482,0,
faster_rcnn,0.2853333333333333,5,0.3932835820895523,0.029451622777121055,0.2829333333333333,0.004657133119086123,0,
faster_rcnn,0.2866666666666667,5,0.3940298507462687,0.030724162463043127,0.2832,0.0048625553410161235,0,
faster_rcnn,0.288,5,0.39477611940298507,0.030244603177849903,0.284,0.005333333333333329,0,
faster_rcnn,0.28933333333333333,5,0.3955223880597015,0.02902303952631352,0.2848,0.0058575687030636755,0,
faster_rcnn,0.2906666666666667,5,0.39701492537313426,0.028854649148031652,0.2885333333333333,0.0024221202832780003,0,
faster_rcnn,0.292,5,0.3977611940298507,0.028975027848234594,0.2898666666666666,0.00202210011841374,0,
faster_rcnn,0.29333333333333333,5,0.3985074626865671,0.02919045853075813,0.2901333333333333,0.0024221202832779907,0,
faster_rcnn,0.2946666666666667,5,0.39925373134328357,0.03042818363861958,0.2917333333333333,0.002190890230020668,0,
faster_rcnn,0.296,5,0.39925373134328357,0.03042818363861958,0.2917333333333333,0.002190890230020668,0,
faster_rcnn,0.29733333333333334,5,0.4,0.030701496165260026,0.2925333333333333,0.003346640106136303,0,
faster_rcnn,0.2986666666666667,5,0.4,0.030701496165260026,0.2925333333333333,0.003346640106136303,0,
faster_rcnn,0.3,5,0.4007462686567164,0.030949912467653325,0.2944,0.004462186808181731,0,
faster_rcnn,0.30133333333333334,5,0.4014925373134329,0.031285483307842664,0.2952,0.005383101130183023,0,
faster_rcnn,0.30266666666666664,5,0.4029850746268657,0.03031357613670134,0.2984,0.00544875113112066,0,
faster_rcnn,0.304,5,0.40373134328358207,0.029070971911615597,0.29866666666666664,0.005734883511361736,0,
faster_rcnn,0.30533333333333335,5,0.40373134328358207,0.029070971911615597,0.29866666666666664,0.005734883511361736,0,
faster_rcnn,0.30666666666666664,5,0.40373134328358207,0.029070971911615597,0.29866666666666664,0.005734883511361736,0,
faster_rcnn,0.308,5,0.4044776119402985,0.029451622777121062,0.3,0.00711805216802086,0,
faster_rcnn,0.30933333333333335,5,0.40671641791044777,0.027546311679539918,0.30133333333333334,0.008485281374238568,0,
faster_rcnn,0.31066666666666665,5,0.408955223880597,0.02497492616519628,0.3056,0.006953815898882815,0,
faster_rcnn,0.312,5,0.4097014925373134,0.026172653607089827,0.30906666666666666,0.003699849846803103,0,
faster_rcnn,0.31333333333333335,5,0.4097014925373134,0.026172653607089827,0.30906666666666666,0.003699849846803103,0,
faster_rcnn,0.31466666666666665,5,0.41044776119402987,0.02503061168843048,0.3098666666666666,0.004482063017059101,0,
faster_rcnn,0.316,5,0.41044776119402987,0.02503061168843048,0.3098666666666666,0.004482063017059101,0,
faster_rcnn,0.31733333333333336,5,0.4119402985074626,0.02646361675596589,0.3138666666666666,0.00372379734500506,0,
