sensitivity_type,detector,seed,equal_bins_per_dimension,bins_per_dimension,minimum_samples_per_cell,confidence_floor,is_original_setting,detection_ece,detection_ece_defined,undefined_reason,total_detections_entering_calibration,baseline_floor_detection_count,detections_removed_from_baseline_floor,fraction_baseline_detections_retained,total_possible_multidimensional_cells,occupied_cells,cells_meeting_minimum_support,detections_in_supported_cells,fraction_detections_contributing_to_supported_cells,supported_cell_size_median,supported_cell_size_min,supported_cell_size_max
binning_minimum_support,faster_rcnn,314,3,3|3|3|3|3,8,0.001,False,0.05440292320449521,True,,3663,3663,0,1.0,243,69,39,3593,0.9808899808899809,28.0,8,658
binning_minimum_support,faster_rcnn,314,3,3|3|3|3|3,16,0.001,False,0.053671676077715454,True,,3663,3663,0,1.0,243,69,30,3504,0.9565929565929566,33.5,16,658
binning_minimum_support,faster_rcnn,314,5,5|5|5|5|5,1,0.001,False,0.07384845712145248,True,,3663,3663,0,1.0,3125,247,247,3663,1.0,3.0,1,252
binning_minimum_support,faster_rcnn,314,5,5|5|5|5|5,4,0.001,False,0.05540423472099836,True,,3663,3663,0,1.0,3125,247,115,3452,0.9423969423969424,9.0,4,252
binning_minimum_support,faster_rcnn,314,5,5|5|5|5|5,8,0.001,True,0.04027477076422441,True,,3663,3663,0,1.0,3125,247,70,3220,0.879060879060879,18.0,8,252
binning_minimum_support,faster_rcnn,314,5,5|5|5|5|5,16,0.001,False,0.022035136424796258,True,,3663,3663,0,1.0,3125,247,39,2888,0.7884247884247885,42.0,16,252
binning_minimum_support,faster_rcnn,314,7,7|7|7|7|7,1,0.001,False,0.084051679838923,True,,3663,3663,0,1.0,16807,525,525,3663,1.0,2.0,1,173
binning_minimum_support,faster_rcnn,314,7,7|7|7|7|7,4,0.001,False,0.04483313479906605,True,,3663,3663,0,1.0,16807,525,186,3161,0.862953862953863,8.0,4,173
binning_minimum_support,faster_rcnn,314,7,7|7|7|7|7,8,0.001,False,0.022648998896443645,True,,3663,3663,0,1.0,16807,525,98,2723,0.7433797433797433,17.0,8,173
binning_minimum_support,faster_rcnn,314,7,7|7|7|7|7,16,0.001,False,0.013153203106876855,True,,3663,3663,0,1.0,16807,525,55,2287,0.6243516243516244,29.0,16,173
confidence_floor,faster_rcnn,314,5,5|5|5|5|5,8,0.001,True,0.04027477076422441,True,,3663,3663,0,1.0,3125,247,70,3220,0.879060879060879,18.0,8,252
confidence_floor,faster_rcnn,314,5,5|5|5|5|5,8,0.005,False,0.07117220386960532,True,,1905,3663,1758,0.5200655200655201,3125,224,52,1494,0.784251968503937,15.0,8,114
confidence_floor,faster_rcnn,314,5,5|5|5|5|5,8,0.01,False,0.08805399256546531,True,,1499,3663,2164,0.40922740922740924,3125,217,46,1082,0.7218145430286858,14.0,8,74
confidence_floor,faster_rcnn,314,5,5|5|5|5|5,8,0.05,False,0.13264401514975355,True,,881,3663,2782,0.24051324051324052,3125,189,33,488,0.5539160045402951,13.0,8,31
binning_minimum_support,yolo11s,17,3,3|3|3|3|3,1,0.001,False,0.0905974213172379,True,,1019,1019,0,1.0,243,30,30,1019,1.0,10.0,1,202
binning_minimum_support,yolo11s,17,3,3|3|3|3|3,4,0.001,False,0.08906809691914609,True,,1019,1019,0,1.0,243,30,21,1005,0.9862610402355251,17.0,4,202
