detector,curve,iou_definition,recall,seed_count,precision,precision_std,average_precision,average_precision_std
faster_rcnn,ap50,IoU=0.50,0.93,3,0.01421694020109772,0.012590500274169874,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.9400000000000001,3,0.01292598565429435,0.011516336021083469,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.9500000000000001,3,0.011175695362871397,0.009832450771847754,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.96,3,0.004254898080348308,0.007369699656190552,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.97,3,0.0,0.0,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.98,3,0.0,0.0,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.99,3,0.0,0.0,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,1.0,3,0.0,0.0,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50_95,mean IoU=0.50:0.95,0.0,3,0.56272821261327,0.009216978545013986,0.10232138459103056,0.003599812697806189
faster_rcnn,ap50_95,mean IoU=0.50:0.95,0.01,3,0.46067756724510617,0.08759981899863328,0.10232138459103056,0.003599812697806189
faster_rcnn,ap50_95,mean IoU=0.50:0.95,0.02,3,0.41199492609778393,0.05834497485521231,0.10232138459103056,0.003599812697806189
faster_rcnn,ap50_95,mean IoU=0.50:0.95,0.03,3,0.35602398768598587,0.030424410509090755,0.10232138459103056,0.003599812697806189
faster_rcnn,ap50_95,mean IoU=0.50:0.95,0.04,3,0.3428959878237532,0.023744200340919452,0.10232138459103056,0.003599812697806189
faster_rcnn,ap50_95,mean IoU=0.50:0.95,0.05,3,0.3242019638463007,0.014699116762581321,0.10232138459103056,0.003599812697806189
faster_rcnn,ap50_95,mean IoU=0.50:0.95,0.06,3,0.31172128963403695,0.005945827036565045,0.10232138459103056,0.003599812697806189
faster_rcnn,ap50_95,mean IoU=0.50:0.95,0.07,3,0.30349523872313233,0.003200702025219308,0.10232138459103056,0.003599812697806189
faster_rcnn,ap50_95,mean IoU=0.50:0.95,0.08,3,0.2952606663506024,0.003144732384333793,0.10232138459103056,0.003599812697806189
faster_rcnn,ap50_95,mean IoU=0.50:0.95,0.09,3,0.28413876572852126,0.006646413617127257,0.10232138459103056,0.003599812697806189
