detector,seed,fp_per_image_budget,sensitivity,achieved_fp_per_image,selected_threshold,selected_threshold_kind,selected_at_candidate_floor_boundary,candidate_score_floor,candidate_floor_endpoint_sensitivity,candidate_floor_endpoint_fp_per_image,candidate_floor_limited
faster_rcnn,314,0.25,0.34328358208955223,0.24533333333333332,0.6364943385124207,emitted_score,False,0.001,0.7761194029850746,4.6066666666666665,False
faster_rcnn,314,0.5,0.458955223880597,0.49466666666666664,0.25469428300857544,emitted_score,False,0.001,0.7761194029850746,4.6066666666666665,False
faster_rcnn,314,1.0,0.5708955223880597,0.9933333333333333,0.04716186970472336,emitted_score,False,0.001,0.7761194029850746,4.6066666666666665,False
faster_rcnn,314,2.0,0.6716417910447762,1.9493333333333334,0.007591942325234413,emitted_score,False,0.001,0.7761194029850746,4.6066666666666665,False
yolo11s,17,0.125,0.19776119402985073,0.12266666666666666,0.14206071197986603,emitted_score,False,0.001,0.5410447761194029,1.1653333333333333,False
yolo11s,17,0.25,0.26492537313432835,0.244,0.04273446649312973,emitted_score,False,0.001,0.5410447761194029,1.1653333333333333,False
yolo11s,17,0.5,0.3805970149253731,0.5,0.008673361502587795,emitted_score,False,0.001,0.5410447761194029,1.1653333333333333,False
yolo11s,17,1.0,0.5223880597014925,0.9866666666666667,0.0015137799782678485,emitted_score,False,0.001,0.5410447761194029,1.1653333333333333,False
yolo11s,17,2.0,0.5410447761194029,1.1386666666666667,0.0010443784995004535,emitted_score,False,0.001,0.5410447761194029,1.1653333333333333,True
yolo11s,42,0.125,0.1865671641791045,0.116,0.12648166716098785,emitted_score,False,0.001,0.4626865671641791,0.8653333333333333,False
yolo11s,42,0.25,0.2947761194029851,0.24933333333333332,0.02906835451722145,emitted_score,False,0.001,0.4626865671641791,0.8653333333333333,False
yolo11s,42,0.5,0.39552238805970147,0.48,0.004917047917842865,emitted_score,False,0.001,0.4626865671641791,0.8653333333333333,False
yolo11s,42,1.0,0.4626865671641791,0.8546666666666667,0.0010545593686401844,emitted_score,False,0.001,0.4626865671641791,0.8653333333333333,True
yolo11s,42,2.0,0.4626865671641791,0.8546666666666667,0.0010545593686401844,emitted_score,False,0.001,0.4626865671641791,0.8653333333333333,True
yolo11s,137,0.125,0.16044776119402984,0.124,0.13924285769462585,emitted_score,False,0.001,0.3619402985074627,0.396,False
yolo11s,137,0.25,0.2873134328358209,0.24533333333333332,0.007984586991369724,emitted_score,False,0.001,0.3619402985074627,0.396,False
yolo11s,137,0.5,0.3619402985074627,0.3933333333333333,0.0010440009646117687,emitted_score,False,0.001,0.3619402985074627,0.396,True
yolo11s,137,1.0,0.3619402985074627,0.3933333333333333,0.0010440009646117687,emitted_score,False,0.001,0.3619402985074627,0.396,True
yolo11s,137,2.0,0.3619402985074627,0.3933333333333333,0.0010440009646117687,emitted_score,False,0.001,0.3619402985074627,0.396,True
yolo11s,271,0.125,0.16044776119402984,0.12133333333333333,0.009812114760279655,emitted_score,False,0.001,0.5410447761194029,1.0893333333333333,False
yolo11s,271,0.25,0.21641791044776118,0.24133333333333334,0.005392459221184254,emitted_score,False,0.001,0.5410447761194029,1.0893333333333333,False
yolo11s,271,0.5,0.373134328358209,0.484,0.0025850869715213776,emitted_score,False,0.001,0.5410447761194029,1.0893333333333333,False
yolo11s,271,1.0,0.5335820895522388,0.9706666666666667,0.0011581276776269078,emitted_score,False,0.001,0.5410447761194029,1.0893333333333333,False
yolo11s,271,2.0,0.5410447761194029,1.0853333333333333,0.001006634091027081,emitted_score,False,0.001,0.5410447761194029,1.0893333333333333,True
yolo11s,314,0.125,0.19402985074626866,0.124,0.08377154916524887,emitted_score,False,0.001,0.4925373134328358,1.0306666666666666,False
yolo11s,314,0.25,0.26865671641791045,0.24933333333333332,0.024740228429436684,emitted_score,False,0.001,0.4925373134328358,1.0306666666666666,False
yolo11s,314,0.5,0.373134328358209,0.49733333333333335,0.004449078813195229,emitted_score,False,0.001,0.4925373134328358,1.0306666666666666,False
yolo11s,314,1.0,0.48880597014925375,0.968,0.001156668527983129,emitted_score,False,0.001,0.4925373134328358,1.0306666666666666,False
yolo11s,314,2.0,0.4925373134328358,1.012,0.0010482595534995198,emitted_score,False,0.001,0.4925373134328358,1.0306666666666666,True
