detector,seed,curve,iou_definition,recall,precision,average_precision
faster_rcnn,17,ap50,IoU=0.50,0.9500000000000001,0.01849702596837371,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,0.96,0.0,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,0.97,0.0,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,0.98,0.0,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,0.99,0.0,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,1.0,0.0,0.2955726614421415
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.0,0.5582010582010583,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.01,0.4561528059499661,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.02,0.41949483255183795,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.03,0.3586264158344638,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.04,0.3544903403516391,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.05,0.33943845293976826,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.06,0.3170397291547108,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.07,0.3025860454887509,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.08,0.29827237589361516,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.09,0.2898741884355206,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.1,0.2773474636330074,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.11,0.2713643269474717,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.12,0.2627643924573586,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.13,0.24889745212746747,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.14,0.23250891741276317,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.15,0.21943764095817797,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.16,0.20819334631557673,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.17,0.20200320457217763,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.18,0.18970876102348963,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.19,0.17967661850854746,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.2,0.17341994602190755,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.21,0.1628034716117349,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.22,0.15837325264924867,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.23,0.15244324304772686,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.24,0.14454358308796256,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.25,0.13819470625420704,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.26,0.13260848318632018,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.27,0.12585577353661387,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.28,0.11726117027593885,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.29,0.11399688491189597,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.3,0.107372125580812,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.31,0.0987787466172248,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.32,0.09245447653757013,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.33,0.09148101500017113,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.34,0.08745162859361494,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.35000000000000003,0.0854153107793861,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.36,0.08204692056581643,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.37,0.08085101006075723,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.38,0.0765135008914504,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.39,0.07420730261494753,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.4,0.07280606273257656,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.41000000000000003,0.07087550038750902,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.42,0.0680820847322134,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.43,0.06578261122890303,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.44,0.06313660490685816,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.45,0.06037654781275471,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.46,0.056763720789841376,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.47000000000000003,0.05555064909058103,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.48,0.0537517765119679,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.49,0.05282042789167503,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.5,0.051593899330386814,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.51,0.050804666414894825,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.52,0.04898593487255644,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.53,0.04823547755451844,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.54,0.04527738471057021,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.55,0.043746913699589794,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.56,0.04189665492570823,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.5700000000000001,0.040521585283792336,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.58,0.03889558126152846,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.59,0.0361055804668526,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.6,0.03594577830504802,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.61,0.035224495531867746,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.62,0.03276486207956773,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.63,0.030948527113349122,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.64,0.030078136703550813,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.65,0.027409930715637777,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.66,0.026980476976352225,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.67,0.02553900947411124,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.68,0.023295315462458006,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.6900000000000001,0.0219864461667706,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.7000000000000001,0.021359636290981303,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.71,0.020499366821184792,0.0983562201940088
