detector,threshold,seed_count,sensitivity,sensitivity_std,fp_per_image,fp_per_image_std
faster_rcnn,0.69,5,0.35074626865671643,0.046304752410413645,0.23200000000000004,0.08017758068465551
faster_rcnn,0.7,5,0.33880597014925373,0.05673605316044241,0.22053333333333333,0.08291146549851298
faster_rcnn,0.71,5,0.3261194029850746,0.0602008038052035,0.20693333333333333,0.08335413073814106
faster_rcnn,0.72,5,0.3164179104477612,0.06389210385971342,0.19706666666666667,0.08667897348517946
faster_rcnn,0.73,5,0.30970149253731344,0.06829479558851913,0.18346666666666667,0.08431475421169049
faster_rcnn,0.74,5,0.2977611940298507,0.07598576211147905,0.17253333333333334,0.08014764154012546
faster_rcnn,0.75,5,0.2835820895522388,0.09302202136058142,0.16160000000000002,0.08037357221818071
faster_rcnn,0.76,5,0.27313432835820894,0.09802857362776363,0.14986666666666668,0.07941788211731662
faster_rcnn,0.77,5,0.25970149253731345,0.11356409334357447,0.13653333333333334,0.07297244533231552
faster_rcnn,0.78,5,0.24701492537313433,0.11223220645888389,0.124,0.06982517852147287
faster_rcnn,0.79,5,0.23805970149253727,0.11325103262742657,0.11333333333333333,0.0657605082435077
faster_rcnn,0.8,5,0.22537313432835818,0.12084023058439564,0.10533333333333335,0.06180255298574287
faster_rcnn,0.81,5,0.2164179104477612,0.12090934138820635,0.09386666666666667,0.056099910873369484
faster_rcnn,0.82,5,0.20522388059701493,0.11814283730587734,0.0864,0.05264049982876513
faster_rcnn,0.83,5,0.1947761194029851,0.11453461384174232,0.07706666666666666,0.04916548021167336
faster_rcnn,0.84,5,0.18656716417910446,0.11194029850746268,0.06933333333333333,0.04739432689913659
faster_rcnn,0.85,5,0.17761194029850746,0.10745361694728836,0.059733333333333326,0.041520008563475895
faster_rcnn,0.86,5,0.16567164179104477,0.10545914210113136,0.05146666666666666,0.038211109495654386
faster_rcnn,0.87,5,0.15223880597014924,0.0986303507569719,0.04346666666666667,0.032326116032981404
faster_rcnn,0.88,5,0.1373134328358209,0.09503578250031221,0.03866666666666667,0.029814239699997195
faster_rcnn,0.89,5,0.12537313432835823,0.08840212956412583,0.0312,0.025483763894335196
faster_rcnn,0.9,5,0.10970149253731343,0.07856227868945996,0.02506666666666667,0.021815387026388307
faster_rcnn,0.91,5,0.09477611940298507,0.07992394468949426,0.019466666666666667,0.018775871040602438
faster_rcnn,0.92,5,0.07611940298507462,0.06625630179302892,0.014400000000000001,0.013279892904521315
faster_rcnn,0.93,5,0.058955223880597006,0.052132087153949194,0.010933333333333333,0.010039920318408906
faster_rcnn,0.94,5,0.03582089552238806,0.0382894732309412,0.008533333333333334,0.007921840414673573
faster_rcnn,0.95,5,0.02238805970149254,0.021596710639534004,0.0061333333333333335,0.006296383441662718
faster_rcnn,0.96,5,0.010447761194029851,0.011621202613729429,0.0021333333333333334,0.002764858847110363
faster_rcnn,0.97,5,0.003731343283582089,0.005276916277511548,0.0002666666666666667,0.0005962847939999439
faster_rcnn,0.98,5,0.0,0.0,0.0,0.0
faster_rcnn,0.99,5,0.0,0.0,0.0,0.0
yolo11s,0.01,5,0.29253731343283584,0.08863805773804101,0.3104,0.13512594947759748
yolo11s,0.02,5,0.25074626865671645,0.09488916750634281,0.23253333333333331,0.11769867364493866
yolo11s,0.03,5,0.2238805970149254,0.10380916226301161,0.19253333333333336,0.10387428298990403
yolo11s,0.04,5,0.2037313432835821,0.11611014619896612,0.16720000000000002,0.09775070332227795
yolo11s,0.05,5,0.19477611940298506,0.11095336070295891,0.15173333333333333,0.08822395744165339
yolo11s,0.06,5,0.1805970149253731,0.10179799293483276,0.13999999999999999,0.08111445959602735
yolo11s,0.07,5,0.1753731343283582,0.09872206384569368,0.12986666666666666,0.07486639952460501
yolo11s,0.08,5,0.16865671641791044,0.09554716329826951,0.12079999999999999,0.06997523371403151
yolo11s,0.09,5,0.1656716417910448,0.09390094219904119,0.11386666666666667,0.0656631132710325
