detector,repetition,image_id,seconds,detections,max_boxes_absolute_error,max_scores_absolute_error
faster_rcnn,1,57a59afd-3382-4b13-99f2-69f2c7fb52ab.png,0.0472909000236541,26,0.0,0.0
faster_rcnn,1,3b7f8762-a4db-472d-bdf2-baad45d06f86.png,0.04749769996851683,7,0.0,0.0
faster_rcnn,1,c43a02c5-a5d0-4c33-9ca8-b09c639c6f0f.png,0.047801600012462586,13,0.0,0.0
faster_rcnn,1,c3b05294-29be-46e4-8a51-96fd211e4ca5.png,0.04657990002306178,17,0.0,0.0
faster_rcnn,1,f5cb4b26-5821-4b91-90a0-629f4f0cbd2f.png,0.04702749999705702,38,0.0,0.0
yolo11s,1,68f6391e-0148-458f-975c-5369d10ef81a.png,0.01667710003675893,0,0.0,0.0
yolo11s,1,bce09fde-2765-4fe5-ac6f-1e5966a43882.png,0.017495499982032925,5,0.0,0.0
yolo11s,1,776b44fa-43e6-4f7b-87fb-7ae97763085f.png,0.017273099976591766,5,0.0,0.0
yolo11s,1,f2f285d8-db26-4907-a795-c43ffbf0cad1.png,0.017900200036820024,0,0.0,0.0
yolo11s,1,dce6a692-4798-4d0e-b183-bf981ce5da46.png,0.016698200022801757,0,0.0,0.0
yolo11s,1,b42eaeb8-b6d3-41d7-836c-56fd0922abf6.png,0.017649599991273135,2,0.0,0.0
yolo11s,1,843051a1-92ae-40b3-a835-70ba939338cd.png,0.01728899998124689,1,0.0,0.0
yolo11s,1,5b6f828f-98b3-4a29-b93c-763594d135fd.png,0.016979500011075288,6,0.0,0.0
yolo11s,1,723515df-a2b9-4f89-bb3f-437e364bc726.png,0.017433500033803284,7,0.0,0.0
yolo11s,1,ece9ecd0-64b4-4672-b0af-96d0a147b3cd.png,0.016477700031828135,0,0.0,0.0
yolo11s,1,41e6698f-96a6-4072-ade5-e018a57c0460.png,0.0179647000040859,0,0.0,0.0
yolo11s,1,79ae041d-6f41-47b0-b82e-02e78f7896c0.png,0.017233600025065243,2,0.0,0.0
yolo11s,1,f98f029b-bd96-4a3b-b7df-68a198750541.png,0.016960699984338135,0,0.0,0.0
yolo11s,1,6e0ac228-0e49-4dd6-b5b1-bfd376b35365.png,0.018131500051822513,0,0.0,0.0
yolo11s,1,88942782-7948-43f0-bb6a-8ef1f7002327.png,0.016254999965894967,0,0.0,0.0
yolo11s,1,5f0b21ab-ed6f-4ce0-ba33-af559c6c6c5f.png,0.01725479995366186,0,0.0,0.0
