detector,threshold_probability,net_benefit,net_benefit_ci_lower,net_benefit_ci_upper,mean_true_positive_images,mean_false_positive_images,mean_flagged_images,treat_all_net_benefit,treat_all_ci_lower,treat_all_ci_upper,treat_none_net_benefit,treat_none_ci_lower,treat_none_ci_upper,net_benefit_difference_vs_other,difference_ci_lower,difference_ci_upper,other_detector,point_estimate_preferred_detector,paired_ci_preferred_detector,point_estimate_best_strategy,population,population_unit,image_count,positive_image_count,negative_image_count,disease_prevalence,disease_prevalence_percent,patient_group_count,seed_count,seed_ids,confidence_level,bootstrap_resamples,bootstrap_valid_resamples,bootstrap_method,seed_aggregation,decision_rule,outcome_definition,score_interpretation
faster_rcnn,0.11,0.16045243445692886,0.10806364804201082,0.21645967850378292,159.0,312.8,471.8,0.12958801498127342,0.07403894603931956,0.1866332648655268,0.0,0.0,0.0,0.0951610486891386,0.05595655886069468,0.14651653527668962,yolo11s,faster_rcnn,faster_rcnn,faster_rcnn,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
yolo11s,0.11,0.06529138576779026,0.02705976571838394,0.11079166381144168,52.8,31.0,83.8,0.12958801498127342,0.07403894603931956,0.1866332648655268,0.0,0.0,0.0,-0.0951610486891386,-0.14651653527668962,-0.05595655886069469,faster_rcnn,faster_rcnn,faster_rcnn,faster_rcnn,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
faster_rcnn,0.12,0.15604848484848485,0.10355995085995087,0.21145588566205312,158.6,304.8,463.4,0.1196969696969697,0.06351666133522092,0.1773904610571805,0.0,0.0,0.0,0.0928969696969697,0.05301017590285556,0.14267915414949342,yolo11s,faster_rcnn,faster_rcnn,faster_rcnn,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
yolo11s,0.12,0.06315151515151515,0.026197900521347055,0.10705094793323879,51.4,29.6,81.0,0.1196969696969697,0.06351666133522092,0.1773904610571805,0.0,0.0,0.0,-0.0928969696969697,-0.14267915414949348,-0.053010175902855575,faster_rcnn,faster_rcnn,faster_rcnn,faster_rcnn,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
faster_rcnn,0.13,0.1514022988505747,0.09846760841403984,0.20705864669331892,158.2,298.8,457.0,0.10957854406130267,0.05275248502872919,0.1679351790003665,0.0,0.0,0.0,0.09111417624521073,0.05099654104920792,0.14058829779781112,yolo11s,faster_rcnn,faster_rcnn,faster_rcnn,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
yolo11s,0.13,0.06028812260536398,0.024663837918721895,0.10290702665383555,49.4,28.0,77.4,0.10957854406130267,0.05275248502872919,0.1679351790003665,0.0,0.0,0.0,-0.09111417624521073,-0.14058829779781118,-0.05099654104920794,faster_rcnn,faster_rcnn,faster_rcnn,faster_rcnn,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
faster_rcnn,0.14,0.14671627906976745,0.09294699837750134,0.20313464311890791,157.8,293.4,451.2,0.09922480620155039,0.04173797904069117,0.15826000666316145,0.0,0.0,0.0,0.0886201550387597,0.047881993079550315,0.13832070340747454,yolo11s,faster_rcnn,faster_rcnn,faster_rcnn,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
yolo11s,0.14,0.05809612403100776,0.023605091755121748,0.09918641357055863,48.0,27.2,75.2,0.09922480620155039,0.04173797904069117,0.15826000666316145,0.0,0.0,0.0,-0.0886201550387597,-0.1383207034074746,-0.04788199307955032,faster_rcnn,faster_rcnn,faster_rcnn,faster_rcnn,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
faster_rcnn,0.15,0.14178823529411763,0.08787844275591225,0.19925423773195092,157.2,288.2,445.4,0.08862745098039215,0.030464308205875774,0.1483571832121398,0.0,0.0,0.0,0.08577254901960783,0.044817467913323035,0.1355102409653455,yolo11s,faster_rcnn,faster_rcnn,faster_rcnn,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
yolo11s,0.15,0.0560156862745098,0.02230231852349795,0.0963877804362708,46.6,26.0,72.6,0.08862745098039215,0.030464308205875774,0.1483571832121398,0.0,0.0,0.0,-0.08577254901960783,-0.13551024096534556,-0.044817467913323056,faster_rcnn,faster_rcnn,faster_rcnn,faster_rcnn,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
faster_rcnn,0.16,0.13729523809523808,0.08270173104206717,0.1948923282879937,156.8,282.6,439.40000000000003,0.07777777777777778,0.018922216636898075,0.13821857825037956,0.0,0.0,0.0,0.08270476190476189,0.041061700403247886,0.1326445201342037,yolo11s,faster_rcnn,faster_rcnn,faster_rcnn,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
yolo11s,0.16,0.05459047619047619,0.021914707814954564,0.09416187623141126,45.4,23.4,68.8,0.07777777777777778,0.018922216636898075,0.13821857825037956,0.0,0.0,0.0,-0.08270476190476189,-0.13264452013420377,-0.04106170040324793,faster_rcnn,faster_rcnn,faster_rcnn,faster_rcnn,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
faster_rcnn,0.17,0.13213493975903617,0.07620293878499113,0.19085521031494398,156.0,277.8,433.8,0.06666666666666665,0.007102002379511317,0.127835669554601,0.0,0.0,0.0,0.07894939759036147,0.0365356867288925,0.12974802410600822,yolo11s,faster_rcnn,faster_rcnn,faster_rcnn,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
yolo11s,0.17,0.0531855421686747,0.02084659685428461,0.09180192451552605,44.6,23.0,67.6,0.06666666666666665,0.007102002379511317,0.127835669554601,0.0,0.0,0.0,-0.07894939759036147,-0.12974802410600825,-0.0365356867288925,faster_rcnn,faster_rcnn,faster_rcnn,faster_rcnn,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
faster_rcnn,0.18,0.12753821138211383,0.07164456268461969,0.18700645436496863,155.8,274.0,429.8,0.055284552845528495,-0.005006509786592159,0.1171995191833157,0.0,0.0,0.0,0.07563577235772358,0.03250012809581569,0.12632132848098818,yolo11s,faster_rcnn,faster_rcnn,faster_rcnn,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
yolo11s,0.18,0.05190243902439025,0.020171164839233223,0.09008722452308589,43.8,22.2,66.0,0.055284552845528495,-0.005006509786592159,0.1171995191833157,0.0,0.0,0.0,-0.07563577235772358,-0.1263213284809882,-0.0325001280958157,faster_rcnn,faster_rcnn,faster_rcnn,faster_rcnn,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
faster_rcnn,0.19,0.12352263374485598,0.06665314406000682,0.18304339319227086,155.6,268.4,424.0,0.04362139917695476,-0.01741399756173529,0.10630074781520846,0.0,0.0,0.0,0.07354074074074074,0.029430740972511932,0.12509653510798668,yolo11s,faster_rcnn,faster_rcnn,faster_rcnn,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
yolo11s,0.19,0.04998189300411523,0.01960410101824244,0.0876600698263058,42.6,21.8,64.4,0.04362139917695476,-0.01741399756173529,0.10630074781520846,0.0,0.0,0.0,-0.07354074074074074,-0.12509653510798674,-0.02943074097251194,faster_rcnn,faster_rcnn,faster_rcnn,faster_rcnn,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
