detector,seed,threshold,sensitivity,false_positives,fp_per_image
faster_rcnn,271,0.19,0.5671641791044776,505,0.6733333333333333
faster_rcnn,271,0.2,0.5559701492537313,494,0.6586666666666666
faster_rcnn,271,0.21,0.5447761194029851,481,0.6413333333333333
faster_rcnn,271,0.22,0.5410447761194029,477,0.636
faster_rcnn,271,0.23,0.5335820895522388,460,0.6133333333333333
faster_rcnn,271,0.24,0.5298507462686567,449,0.5986666666666667
faster_rcnn,271,0.25,0.5261194029850746,435,0.58
faster_rcnn,271,0.26,0.5261194029850746,427,0.5693333333333334
faster_rcnn,271,0.27,0.5186567164179104,417,0.556
faster_rcnn,271,0.28,0.5186567164179104,411,0.548
faster_rcnn,271,0.29,0.5186567164179104,400,0.5333333333333333
faster_rcnn,271,0.3,0.5186567164179104,390,0.52
faster_rcnn,271,0.31,0.5186567164179104,384,0.512
faster_rcnn,271,0.32,0.5186567164179104,370,0.49333333333333335
faster_rcnn,271,0.33,0.5186567164179104,362,0.4826666666666667
faster_rcnn,271,0.34,0.5186567164179104,352,0.4693333333333333
faster_rcnn,271,0.35,0.5111940298507462,344,0.45866666666666667
faster_rcnn,271,0.36,0.5111940298507462,339,0.452
faster_rcnn,271,0.37,0.5111940298507462,334,0.44533333333333336
faster_rcnn,271,0.38,0.5111940298507462,323,0.43066666666666664
faster_rcnn,271,0.39,0.5074626865671642,318,0.424
faster_rcnn,271,0.4,0.5074626865671642,317,0.4226666666666667
faster_rcnn,271,0.41,0.5,310,0.41333333333333333
faster_rcnn,271,0.42,0.48880597014925375,302,0.4026666666666667
faster_rcnn,271,0.43,0.48134328358208955,298,0.3973333333333333
faster_rcnn,271,0.44,0.47761194029850745,289,0.38533333333333336
faster_rcnn,271,0.45,0.4701492537313433,281,0.37466666666666665
faster_rcnn,271,0.46,0.4664179104477612,275,0.36666666666666664
faster_rcnn,271,0.47,0.4664179104477612,265,0.35333333333333333
faster_rcnn,271,0.48,0.4626865671641791,261,0.348
faster_rcnn,271,0.49,0.458955223880597,251,0.33466666666666667
faster_rcnn,271,0.5,0.44776119402985076,248,0.33066666666666666
faster_rcnn,271,0.51,0.44776119402985076,241,0.32133333333333336
faster_rcnn,271,0.52,0.44029850746268656,234,0.312
faster_rcnn,271,0.53,0.44029850746268656,227,0.30266666666666664
faster_rcnn,271,0.54,0.44029850746268656,223,0.29733333333333334
faster_rcnn,271,0.55,0.43656716417910446,219,0.292
faster_rcnn,271,0.56,0.43656716417910446,215,0.2866666666666667
faster_rcnn,271,0.57,0.4253731343283582,211,0.2813333333333333
faster_rcnn,271,0.58,0.417910447761194,207,0.276
faster_rcnn,271,0.59,0.41044776119402987,201,0.268
faster_rcnn,271,0.6,0.40671641791044777,199,0.2653333333333333
faster_rcnn,271,0.61,0.39552238805970147,186,0.248
faster_rcnn,271,0.62,0.3917910447761194,184,0.24533333333333332
faster_rcnn,271,0.63,0.3880597014925373,176,0.23466666666666666
faster_rcnn,271,0.64,0.3843283582089552,171,0.228
faster_rcnn,271,0.65,0.3805970149253731,169,0.22533333333333333
faster_rcnn,271,0.66,0.373134328358209,164,0.21866666666666668
faster_rcnn,271,0.67,0.35447761194029853,154,0.20533333333333334
faster_rcnn,271,0.68,0.35074626865671643,144,0.192
faster_rcnn,271,0.69,0.35074626865671643,138,0.184
faster_rcnn,271,0.7,0.34701492537313433,134,0.17866666666666667
faster_rcnn,271,0.71,0.34328358208955223,129,0.172
faster_rcnn,271,0.72,0.3358208955223881,127,0.16933333333333334
faster_rcnn,271,0.73,0.3283582089552239,124,0.16533333333333333
faster_rcnn,271,0.74,0.31716417910447764,119,0.15866666666666668
faster_rcnn,271,0.75,0.30597014925373134,116,0.15466666666666667
faster_rcnn,271,0.76,0.30597014925373134,111,0.148
faster_rcnn,271,0.77,0.30223880597014924,106,0.14133333333333334
faster_rcnn,271,0.78,0.2947761194029851,99,0.132
faster_rcnn,271,0.79,0.2835820895522388,96,0.128
faster_rcnn,271,0.8,0.27238805970149255,94,0.12533333333333332
faster_rcnn,271,0.81,0.26865671641791045,83,0.11066666666666666
faster_rcnn,271,0.82,0.2574626865671642,77,0.10266666666666667
faster_rcnn,271,0.83,0.2462686567164179,73,0.09733333333333333
faster_rcnn,271,0.84,0.24253731343283583,67,0.08933333333333333
faster_rcnn,271,0.85,0.23880597014925373,59,0.07866666666666666
faster_rcnn,271,0.86,0.22761194029850745,50,0.06666666666666667
faster_rcnn,271,0.87,0.22761194029850745,43,0.05733333333333333
faster_rcnn,271,0.88,0.20522388059701493,38,0.050666666666666665
faster_rcnn,271,0.89,0.1865671641791045,31,0.04133333333333333
faster_rcnn,271,0.9,0.16791044776119404,21,0.028
faster_rcnn,271,0.91,0.14925373134328357,17,0.02266666666666667
faster_rcnn,271,0.92,0.12313432835820895,16,0.021333333333333333
faster_rcnn,271,0.93,0.07462686567164178,13,0.017333333333333333
faster_rcnn,271,0.94,0.033582089552238806,9,0.012
faster_rcnn,271,0.95,0.029850746268656716,5,0.006666666666666667
faster_rcnn,271,0.96,0.007462686567164179,1,0.0013333333333333333
faster_rcnn,271,0.97,0.0,0,0.0
faster_rcnn,271,0.98,0.0,0,0.0
faster_rcnn,271,0.99,0.0,0,0.0
faster_rcnn,314,0.01,0.6492537313432836,1325,1.7666666666666666
faster_rcnn,314,0.02,0.6119402985074627,1010,1.3466666666666667
faster_rcnn,314,0.03,0.5895522388059702,870,1.16
faster_rcnn,314,0.04,0.5783582089552238,790,1.0533333333333332
faster_rcnn,314,0.05,0.5634328358208955,730,0.9733333333333334
faster_rcnn,314,0.06,0.5485074626865671,677,0.9026666666666666
faster_rcnn,314,0.07,0.5485074626865671,634,0.8453333333333334
faster_rcnn,314,0.08,0.5447761194029851,602,0.8026666666666666
faster_rcnn,314,0.09,0.5410447761194029,581,0.7746666666666666
faster_rcnn,314,0.1,0.5335820895522388,555,0.74
faster_rcnn,314,0.11,0.5335820895522388,537,0.716
faster_rcnn,314,0.12,0.5223880597014925,515,0.6866666666666666
faster_rcnn,314,0.13,0.5149253731343284,499,0.6653333333333333
faster_rcnn,314,0.14,0.5111940298507462,480,0.64
faster_rcnn,314,0.15,0.503731343283582,463,0.6173333333333333
faster_rcnn,314,0.16,0.5,455,0.6066666666666667
faster_rcnn,314,0.17,0.48507462686567165,442,0.5893333333333334
faster_rcnn,314,0.18,0.48507462686567165,433,0.5773333333333334
faster_rcnn,314,0.19,0.48134328358208955,419,0.5586666666666666
faster_rcnn,314,0.2,0.48134328358208955,409,0.5453333333333333
faster_rcnn,314,0.21,0.47388059701492535,400,0.5333333333333333
faster_rcnn,314,0.22,0.47388059701492535,390,0.52
faster_rcnn,314,0.23,0.4626865671641791,385,0.5133333333333333
faster_rcnn,314,0.24,0.4626865671641791,381,0.508
faster_rcnn,314,0.25,0.458955223880597,375,0.5
faster_rcnn,314,0.26,0.4552238805970149,367,0.48933333333333334
faster_rcnn,314,0.27,0.45149253731343286,363,0.484
faster_rcnn,314,0.28,0.44402985074626866,353,0.4706666666666667
faster_rcnn,314,0.29,0.44402985074626866,348,0.464
faster_rcnn,314,0.3,0.44402985074626866,341,0.45466666666666666
faster_rcnn,314,0.31,0.44029850746268656,337,0.4493333333333333
faster_rcnn,314,0.32,0.44029850746268656,326,0.43466666666666665
faster_rcnn,314,0.33,0.43283582089552236,319,0.42533333333333334
faster_rcnn,314,0.34,0.4291044776119403,315,0.42
faster_rcnn,314,0.35,0.4253731343283582,309,0.412
faster_rcnn,314,0.36,0.4216417910447761,303,0.404
faster_rcnn,314,0.37,0.4216417910447761,297,0.396
faster_rcnn,314,0.38,0.4216417910447761,290,0.38666666666666666
faster_rcnn,314,0.39,0.4216417910447761,284,0.37866666666666665
faster_rcnn,314,0.4,0.4141791044776119,278,0.37066666666666664
faster_rcnn,314,0.41,0.41044776119402987,274,0.36533333333333334
