scope,condition_id,family,corruption,severity,estimand,metric,unit,detector_a,detector_b,image_count,patient_group_count,seed_count,confidence_level,detector_a_estimate,detector_a_ci_low,detector_a_ci_high,detector_b_estimate,detector_b_ci_low,detector_b_ci_high,difference_a_minus_b,difference_ci_low,difference_ci_high,bootstrap_resamples,bootstrap_valid_a,bootstrap_valid_b,bootstrap_valid_difference,test_name,permutation_resamples,permutation_valid,p_value_raw,p_value_holm,holm_family_size,effect_size_name,effect_size,effect_size_n,status,reason
phase6_primary_seed_robustness,darker_s2,lighting,darker,2,raw,recall,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.7027027027027027,0.5895394602330812,0.7913043478260869,0.18018018018018017,0.09088355464759963,0.24800437956204377,0.5225225225225225,0.4257373077733306,0.6153846153846154,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.0001999600079984003,0.006998600279944011,35,paired_raw_difference,0.5225225225225225,183,complete,
phase6_primary_seed_robustness,darker_s2,lighting,darker,2,raw,f1,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.24644549763033177,0.1765716109810598,0.3084250725104737,0.2684563758389262,0.14285714285714285,0.3508992330071408,-0.022010878208594403,-0.10183338612056413,0.06888650196920862,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.6492701459708058,1.0,35,paired_raw_difference,-0.022010878208594403,183,complete,
phase6_primary_seed_robustness,darker_s2,lighting,darker,2,raw,iou,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.6879878603347959,0.6585386915906899,0.7121256374851415,0.7213502849700051,0.6895362506939109,0.751659832068704,-0.03336242463520922,-0.0818921302841494,0.009157226432464026,2000,2000,1999,1999,paired_patient_cluster_label_swap,5000,5000,0.130373925214957,1.0,34,paired_raw_difference,-0.03336242463520922,183,complete,
phase6_primary_seed_robustness,darker_s2,lighting,darker,2,raw,dice,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.8100765045293982,0.7887100528985093,0.8271354896829045,0.8341528536406081,0.8125437288161218,0.8559768432417592,-0.024076349111209927,-0.05973799439168957,0.005657851014400222,2000,2000,1999,1999,paired_patient_cluster_label_swap,5000,5000,0.1265746850629874,1.0,34,paired_raw_difference,-0.024076349111209927,183,complete,
phase6_primary_seed_robustness,darker_s2,lighting,darker,2,raw,map_50,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.3777244134607964,0.2409108329858952,0.5051228745689688,0.1733184621571865,0.08339091183317925,0.27197554620612124,0.2044059513036099,0.11651348243376333,0.2813293041046298,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.07778444311137772,1.0,35,paired_raw_difference,0.2044059513036099,183,complete,
phase6_primary_seed_robustness,darker_s2,lighting,darker,2,raw,map_50_95,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.150044586544998,0.09474573138992319,0.20941917573055235,0.06268529868084471,0.02991723086646068,0.1016843040961713,0.08735928786415328,0.050807571007189085,0.1250584619870641,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.055188962207558485,1.0,35,paired_raw_difference,0.08735928786415328,183,complete,
phase6_primary_seed_robustness,darker_s2,lighting,darker,2,retention,precision,ratio,faster_rcnn,yolo11s,300,183,1,0.95,1.0382146589043142,0.9800380262411371,1.1165382626742397,1.1357340720221605,0.9874467486536452,1.3696583850931676,-0.09751941311784629,-0.32638998169636607,0.069775916114014,2000,2000,1999,1999,paired_patient_cluster_label_swap,5000,5000,0.1951609678064387,1.0,35,paired_raw_difference,-0.09751941311784629,183,complete,
phase6_primary_seed_robustness,darker_s2,lighting,darker,2,retention,recall,ratio,faster_rcnn,yolo11s,300,183,1,0.95,1.012987012987013,0.9518072289156626,1.0784313725490196,1.0526315789473684,0.75,1.3574675324675325,-0.03964456596035526,-0.3640744331033433,0.28000759734093067,2000,2000,1999,1999,paired_patient_cluster_label_swap,5000,5000,0.6694661067786443,1.0,35,paired_raw_difference,-0.03964456596035526,183,complete,
phase6_primary_seed_robustness,darker_s2,lighting,darker,2,retention,f1,ratio,faster_rcnn,yolo11s,300,183,1,0.95,1.033790853696067,0.9767668792412074,1.1098197464459447,1.0738255033557047,0.8124588815789474,1.3334232613908874,-0.04003464965963777,-0.2999582179900721,0.23236767574261577,2000,2000,1999,1999,paired_patient_cluster_label_swap,5000,5000,0.6034793041391722,1.0,35,paired_raw_difference,-0.04003464965963777,183,complete,
phase6_primary_seed_robustness,darker_s2,lighting,darker,2,retention,iou,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.9941969048436875,0.973498917229394,1.0110019307271536,1.0392881313929603,0.9984214460050048,1.0832663085801828,-0.04509122654927278,-0.09232124684728192,-0.009514412105899372,2000,2000,1999,1999,paired_patient_cluster_label_swap,5000,5000,0.0003999200159968006,0.013597280543891222,34,paired_raw_difference,-0.04509122654927278,183,complete,
phase6_primary_seed_robustness,darker_s2,lighting,darker,2,retention,dice,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.996213324769463,0.9832458639800002,1.0068874286165141,1.0243188610618605,0.9994526144666436,1.0494162546588541,-0.028105536292397537,-0.05591073011735088,-0.0064347315125500475,2000,2000,1999,1999,paired_patient_cluster_label_swap,5000,5000,0.0003999200159968006,0.013597280543891222,34,paired_raw_difference,-0.028105536292397537,183,complete,
phase6_primary_seed_robustness,darker_s2,lighting,darker,2,retention,map_50,ratio,faster_rcnn,yolo11s,300,183,1,0.95,1.0000298940879273,0.9213110412600413,1.082788848131972,0.8203033982999015,0.6768252875427307,1.002391981573712,0.1797264957880258,0.0004598100428448534,0.313522753025041,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.0013997200559888023,0.04759048190361928,35,paired_raw_difference,0.1797264957880258,183,complete,
phase6_primary_seed_robustness,darker_s2,lighting,darker,2,retention,map_50_95,ratio,faster_rcnn,yolo11s,300,183,1,0.95,1.0151713090411645,0.932466396281187,1.1276160380939888,0.8216201833477108,0.6739915067407255,1.03577319350321,0.19355112569345367,-0.00839493916515804,0.3394128136489542,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.0015996800639872025,0.05438912217556489,35,paired_raw_difference,0.19355112569345367,183,complete,
phase6_primary_seed_robustness,darker_s3,lighting,darker,3,raw,precision,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.142578125,0.0933779109849149,0.1920057259713701,0.5,0.2608695652173913,0.7272727272727273,-0.357421875,-0.5863992503012762,-0.14825420194472594,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.0001999600079984003,0.006998600279944011,35,paired_raw_difference,-0.357421875,183,complete,
phase6_primary_seed_robustness,darker_s3,lighting,darker,3,raw,recall,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.6576576576576577,0.5393258426966292,0.7578269190436241,0.16216216216216217,0.06421724300164668,0.24762326169405813,0.49549549549549554,0.406015037593985,0.5855943834459459,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.0001999600079984003,0.006998600279944011,35,paired_raw_difference,0.49549549549549554,183,complete,
phase6_primary_seed_robustness,darker_s3,lighting,darker,3,raw,f1,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.23434991974317818,0.16046735959827196,0.3050317366381211,0.2448979591836735,0.10602103120759844,0.34966821499668205,-0.010548039440495316,-0.10343068608235204,0.09297565208843309,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.8376324735052989,1.0,35,paired_raw_difference,-0.010548039440495316,183,complete,
phase6_primary_seed_robustness,darker_s3,lighting,darker,3,raw,iou,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.7000698968806538,0.6722977218054209,0.7229546293330756,0.7461927972299853,0.7163498677706496,0.8079541256743146,-0.04612290034933153,-0.1252697828589443,-0.007559720429641454,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.023195360927814438,0.742251549690062,34,paired_raw_difference,-0.04612290034933153,183,complete,
phase6_primary_seed_robustness,darker_s3,lighting,darker,3,raw,dice,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.8190437308998197,0.7990450910705614,0.8347334216943048,0.8507260429058259,0.83102198741593,0.8926352090249177,-0.03168231200600613,-0.08542887800848654,-0.0051752876260715945,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.028394321135772844,0.8802239552089581,34,paired_raw_difference,-0.03168231200600613,183,complete,
phase6_primary_seed_robustness,darker_s3,lighting,darker,3,raw,map_50,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.35495763036673683,0.22169998164973775,0.5020203409157195,0.15920374859607916,0.0762988360037954,0.2638049008592916,0.19575388177065767,0.10991375893534411,0.2726620606135354,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.09518096380723855,1.0,35,paired_raw_difference,0.19575388177065767,183,complete,
phase6_primary_seed_robustness,darker_s3,lighting,darker,3,raw,map_50_95,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.14330857682132567,0.08802797939502247,0.21485043422954028,0.058476777101893876,0.02716295325613991,0.10367029710092215,0.08483179971943179,0.046176969271208866,0.12511981210575673,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.07078584283143372,1.0,35,paired_raw_difference,0.08483179971943179,183,complete,
phase6_primary_seed_robustness,darker_s3,lighting,darker,3,retention,precision,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.9906402191558441,0.9340551407838104,1.052085310367145,1.0789473684210527,0.7552232854864435,1.4815032679738562,-0.08830714926520855,-0.5032214232074711,0.2312251159188524,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.2445510897820436,1.0,35,paired_raw_difference,-0.08830714926520855,183,complete,
phase6_primary_seed_robustness,darker_s3,lighting,darker,3,retention,recall,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.9480519480519481,0.890625,0.9896933515674311,0.9473684210526316,0.5,1.35,0.0006835269993165083,-0.3970499682705482,0.4347593475952938,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,1.0,1.0,35,paired_raw_difference,0.0006835269993165083,183,complete,
phase6_primary_seed_robustness,darker_s3,lighting,darker,3,retention,f1,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.9830522607408642,0.9287857090321325,1.0402359540836297,0.979591836734694,0.5546024563671623,1.3333333333333333,0.003460424006170193,-0.3484453033273556,0.4099696074199241,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.9610077984403119,1.0,35,paired_raw_difference,0.003460424006170193,183,complete,
phase6_primary_seed_robustness,darker_s3,lighting,darker,3,retention,iou,ratio,faster_rcnn,yolo11s,300,183,1,0.95,1.0116564038125426,0.9894711259380307,1.0351361576801459,1.0750800742031792,1.0223635589213669,1.179285814991858,-0.06342367039063657,-0.16897670505973758,-0.014854982824839567,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.0003999200159968006,0.013597280543891222,34,paired_raw_difference,-0.06342367039063657,183,complete,
phase6_primary_seed_robustness,darker_s3,lighting,darker,3,retention,dice,ratio,faster_rcnn,yolo11s,300,183,1,0.95,1.007241012088487,0.9934633348799167,1.021542303265604,1.0446703233606693,1.0149851259149154,1.1009868465881396,-0.03742931127218241,-0.0943710551855215,-0.01065828320513643,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.0007998400319936012,0.026394721055788842,34,paired_raw_difference,-0.03742931127218241,183,complete,
phase6_primary_seed_robustness,darker_s3,lighting,darker,3,retention,map_50,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.9397545640459146,0.825338580299842,1.0250225578161807,0.7534995081886139,0.5799485895107284,1.0603211094896945,0.18625505585730073,-0.13849717954166615,0.36170209765351036,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.05838832233553289,1.0,35,paired_raw_difference,0.18625505585730073,183,complete,
phase6_primary_seed_robustness,darker_s3,lighting,darker,3,retention,map_50_95,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.9695968303721609,0.8480787239953035,1.0865543466992862,0.7664588242398054,0.5427913006992852,1.1400560799451265,0.20313800613235555,-0.17180113470662922,0.42390484453000526,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.04059188162367527,1.0,35,paired_raw_difference,0.20313800613235555,183,complete,
phase6_primary_seed_robustness,darker_s4,lighting,darker,4,raw,precision,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.14792899408284024,0.09710439420878843,0.19667555171337317,0.42105263157894735,0.07992307692307705,0.7504807692307666,-0.27312363749610713,-0.60479641406112,0.06110135379605608,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.0001999600079984003,0.006998600279944011,35,paired_raw_difference,-0.27312363749610713,183,complete,
phase6_primary_seed_robustness,darker_s4,lighting,darker,4,raw,recall,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.6756756756756757,0.56,0.7673033483922402,0.07207207207207207,0.009523809523809525,0.14655765580512492,0.6036036036036035,0.4912200956937799,0.7089639014231169,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.0001999600079984003,0.006998600279944011,35,paired_raw_difference,0.6036036036036035,183,complete,
phase6_primary_seed_robustness,darker_s4,lighting,darker,4,raw,f1,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.24271844660194178,0.16665973377703827,0.31017685157925723,0.12307692307692307,0.01769911504424779,0.24001503759398488,0.11964152352501871,-0.004611191170330248,0.2286646223795389,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.07298540291941612,1.0,35,paired_raw_difference,0.11964152352501871,183,complete,
phase6_primary_seed_robustness,darker_s4,lighting,darker,4,raw,iou,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.6919549231386077,0.6650998828484171,0.717394832944976,0.7455750054299826,0.708364608715393,0.8637172471700199,-0.053620082291374827,-0.16474272133812462,-0.003831934469772591,2000,2000,1961,1961,paired_patient_cluster_label_swap,5000,5000,0.022195560887822437,0.7324535092981405,34,paired_raw_difference,-0.053620082291374827,183,complete,
phase6_primary_seed_robustness,darker_s4,lighting,darker,4,raw,dice,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.8128274071130901,0.7937576301294831,0.8301112249278045,0.850716118013755,0.8247008293244857,0.9268758428689116,-0.037888710900664924,-0.11033842388440429,-0.004105121607628215,2000,2000,1961,1961,paired_patient_cluster_label_swap,5000,5000,0.01899620075984803,0.6322735452909418,34,paired_raw_difference,-0.037888710900664924,183,complete,
phase6_primary_seed_robustness,darker_s4,lighting,darker,4,raw,map_50,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.3275667538237673,0.19270001312502388,0.47136459766407945,0.14726549705054476,0.07521391883843843,0.2542973152988768,0.18030125677322256,0.08847207245583108,0.26034993779640225,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.13877224555088982,1.0,35,paired_raw_difference,0.18030125677322256,183,complete,
phase6_primary_seed_robustness,darker_s4,lighting,darker,4,raw,map_50_95,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.1324916714660089,0.0768969001685002,0.20106561503141607,0.051888401132699505,0.025560252513518334,0.09602708122519248,0.0806032703333094,0.03904380678249063,0.11893004619532486,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.08618276344731053,1.0,35,paired_raw_difference,0.0806032703333094,183,complete,
phase6_primary_seed_robustness,darker_s4,lighting,darker,4,retention,precision,ratio,faster_rcnn,yolo11s,300,183,1,0.95,1.0278183355106432,0.9687214284133093,1.0962573830077236,0.9085872576177284,0.18228506787330326,1.6264309764309761,0.11923107789291476,-0.608505566032071,0.8815380111312677,2000,2000,1999,1999,paired_patient_cluster_label_swap,5000,5000,0.41031793641271747,1.0,35,paired_raw_difference,0.11923107789291476,183,complete,
phase6_primary_seed_robustness,darker_s4,lighting,darker,4,retention,recall,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.974025974025974,0.9242424242424242,1.0,0.42105263157894735,0.05555555555555555,1.0,0.5529733424470267,-0.043685300207039014,0.9230769230769231,2000,2000,1999,1999,paired_patient_cluster_label_swap,5000,5000,0.0001999600079984003,0.006998600279944011,35,paired_raw_difference,0.5529733424470267,183,complete,
phase6_primary_seed_robustness,darker_s4,lighting,darker,4,retention,f1,ratio,faster_rcnn,yolo11s,300,183,1,0.95,1.0181566006808724,0.9629667534351506,1.0788624302848016,0.4923076923076923,0.06884675052410902,1.07251632836012,0.5258489083731801,-0.06699366864338695,0.9704112406574716,2000,2000,1999,1999,paired_patient_cluster_label_swap,5000,5000,0.0001999600079984003,0.006998600279944011,35,paired_raw_difference,0.5258489083731801,183,complete,
phase6_primary_seed_robustness,darker_s4,lighting,darker,4,retention,iou,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.9999296245445133,0.9754968819654112,1.0331284313949554,1.074189988347815,0.998288299396415,1.2337203749799561,-0.0742603638033017,-0.23101275151109535,0.007344658074193894,2000,2000,1960,1960,paired_patient_cluster_label_swap,5000,5000,0.010797840431913617,0.34553089382123575,34,paired_raw_difference,-0.0742603638033017,183,complete,
