detector,selection_split,beta,recall_to_precision_weight,candidate_threshold,canonical_selected_threshold,canonical_selection_rule,f_beta_ci_lower,near_optimal_lcb_tolerance,in_near_optimal_plateau,near_optimal_plateau_start,near_optimal_plateau_end,near_optimal_plateau_width,near_optimal_plateau_candidate_count,bootstrap_selection_count,bootstrap_selection_frequency,bootstrap_resamples,bootstrap_selection_rule,tie_breaker
faster_rcnn,validation,1.0,1.0,0.55,0.69,maximum_lower_confidence_bound_f_beta,0.28885410781164733,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.56,0.69,maximum_lower_confidence_bound_f_beta,0.28952338905221137,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.57,0.69,maximum_lower_confidence_bound_f_beta,0.2881510438997247,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.58,0.69,maximum_lower_confidence_bound_f_beta,0.29606576214304803,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.59,0.69,maximum_lower_confidence_bound_f_beta,0.2995948907140968,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.6,0.69,maximum_lower_confidence_bound_f_beta,0.30790539497336616,0.01,False,0.64,0.7,0.06,7,16,0.008,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.61,0.69,maximum_lower_confidence_bound_f_beta,0.31658866209799,0.01,False,0.64,0.7,0.06,7,32,0.016,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.62,0.69,maximum_lower_confidence_bound_f_beta,0.3138152558666698,0.01,False,0.64,0.7,0.06,7,1,0.0005,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.63,0.69,maximum_lower_confidence_bound_f_beta,0.31942773281694886,0.01,False,0.64,0.7,0.06,7,3,0.0015,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.64,0.69,maximum_lower_confidence_bound_f_beta,0.32297182666182905,0.01,True,0.64,0.7,0.06,7,63,0.0315,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.65,0.69,maximum_lower_confidence_bound_f_beta,0.32431574204349634,0.01,True,0.64,0.7,0.06,7,334,0.167,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.66,0.69,maximum_lower_confidence_bound_f_beta,0.3288085844850944,0.01,True,0.64,0.7,0.06,7,99,0.0495,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.67,0.69,maximum_lower_confidence_bound_f_beta,0.32307584269662926,0.01,True,0.64,0.7,0.06,7,6,0.003,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.68,0.69,maximum_lower_confidence_bound_f_beta,0.32737245484281063,0.01,True,0.64,0.7,0.06,7,60,0.03,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.69,0.69,maximum_lower_confidence_bound_f_beta,0.3321769481040093,0.01,True,0.64,0.7,0.06,7,495,0.2475,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.7,0.69,maximum_lower_confidence_bound_f_beta,0.3296225043991223,0.01,True,0.64,0.7,0.06,7,570,0.285,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.71,0.69,maximum_lower_confidence_bound_f_beta,0.31366367403930034,0.01,False,0.64,0.7,0.06,7,21,0.0105,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.72,0.69,maximum_lower_confidence_bound_f_beta,0.2750924872119368,0.01,False,0.64,0.7,0.06,7,13,0.0065,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.73,0.69,maximum_lower_confidence_bound_f_beta,0.26139630477159076,0.01,False,0.64,0.7,0.06,7,11,0.0055,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.74,0.69,maximum_lower_confidence_bound_f_beta,0.22857204484151103,0.01,False,0.64,0.7,0.06,7,138,0.069,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.75,0.69,maximum_lower_confidence_bound_f_beta,0.18577961482763694,0.01,False,0.64,0.7,0.06,7,90,0.045,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.76,0.69,maximum_lower_confidence_bound_f_beta,0.13423034330011077,0.01,False,0.64,0.7,0.06,7,12,0.006,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.77,0.69,maximum_lower_confidence_bound_f_beta,0.10711446239273101,0.01,False,0.64,0.7,0.06,7,2,0.001,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.78,0.69,maximum_lower_confidence_bound_f_beta,0.06618509762717802,0.01,False,0.64,0.7,0.06,7,9,0.0045,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.79,0.69,maximum_lower_confidence_bound_f_beta,0.02629281537176278,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.8,0.69,maximum_lower_confidence_bound_f_beta,0.02009674306695573,0.01,False,0.64,0.7,0.06,7,17,0.0085,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.81,0.69,maximum_lower_confidence_bound_f_beta,0.0,0.01,False,0.64,0.7,0.06,7,8,0.004,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.82,0.69,maximum_lower_confidence_bound_f_beta,0.0,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.83,0.69,maximum_lower_confidence_bound_f_beta,0.0,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.84,0.69,maximum_lower_confidence_bound_f_beta,0.0,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.85,0.69,maximum_lower_confidence_bound_f_beta,0.0,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.86,0.69,maximum_lower_confidence_bound_f_beta,0.0,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.87,0.69,maximum_lower_confidence_bound_f_beta,0.0,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.88,0.69,maximum_lower_confidence_bound_f_beta,0.0,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.89,0.69,maximum_lower_confidence_bound_f_beta,0.0,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.9,0.69,maximum_lower_confidence_bound_f_beta,0.0,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
