detector,curve,iou_definition,recall,seed_count,precision,precision_std,average_precision,average_precision_std
faster_rcnn,ap50,IoU=0.50,0.34,5,0.3684267962028328,0.03958762637847478,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.35000000000000003,5,0.3598111734216499,0.041498276422364866,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.36,5,0.3519522801473786,0.03540872701730602,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.37,5,0.34454478078899137,0.03209984917844665,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.38,5,0.33892051987054195,0.030116498462082114,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.39,5,0.33239083446776535,0.030246964295468606,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.4,5,0.3250715460765401,0.03267156145242139,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.41000000000000003,5,0.31922938992169764,0.02814713294802279,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.42,5,0.3118040936846843,0.03210898021503575,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.43,5,0.3030156427664169,0.03618095374086123,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.44,5,0.2961500279782268,0.03992523990738473,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.45,5,0.28683757460468035,0.038174115961942444,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.46,5,0.28184993006249687,0.03703322838658488,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.47000000000000003,5,0.27435986938376805,0.03296273487507946,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.48,5,0.26854780163312103,0.03321586353633965,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.49,5,0.2632894414318753,0.03332845438331566,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.5,5,0.2591297687578029,0.03273159028657945,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.51,5,0.25238872608481977,0.0320652113820355,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.52,5,0.23730454986688726,0.017374523347661004,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.53,5,0.23136245430960128,0.01549850191546171,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.54,5,0.2229091591924636,0.022405998381418317,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.55,5,0.21489248889050455,0.02928538041491342,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.56,5,0.21283106187946482,0.028828797885702837,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.5700000000000001,5,0.2068087735989923,0.028986246490013894,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.58,5,0.1994199784969623,0.029929632990219234,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.59,5,0.18446781814088303,0.0278519724844961,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.6,5,0.1830164264100472,0.025958811033369937,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.61,5,0.17110449693647356,0.020128927833012553,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.62,5,0.1593063553975015,0.018953539890649285,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.63,5,0.155241106562587,0.01854304858761686,0.3042238071036434,0.01889597011566169
