detector,condition_id,family,corruption,kind,severity,value,unit,image_count,target_count,true_positives,false_positives,false_negatives,inference_seconds,prediction_bundle,prediction_bundle_sha256,precision,precision_relative,precision_degradation,recall,recall_relative,recall_degradation,f1,f1_relative,f1_degradation,iou,iou_relative,iou_degradation,dice,dice_relative,dice_degradation,map_50,map_50_relative,map_50_degradation,map_50_95,map_50_95_relative,map_50_95_degradation
faster_rcnn,brighter_s5,lighting,brighter,brightness,5,1.5,multiplier,300,111,64,523,47,20.80774179988657,C:/Users/Pouyan/PycharmProjects/Uni/Deep Learning/DP_Final_Project/results/logs/phase6_robustness/predictions/faster_rcnn__brighter_s5.json.gz,2ef377b272aaf9eafd689f7b02c335b34fb063fd6e4c09b5813fbf49f1cbb603,0.10902896081771721,0.7575388836036195,0.24246111639638046,0.5765765765765766,0.8311688311688311,0.1688311688311689,0.18338108882521492,0.7692479440330443,0.2307520559669557,0.6951874322012295,1.004600855957483,-0.004600855957483052,0.8153067769242421,1.0026453926331573,-0.0026453926331573285,0.2698997475874615,0.7145628039270512,0.2854371960729488,0.09910910901190496,0.6705521755251431,0.3294478244748569
faster_rcnn,gaussian_noise_s1,noise,gaussian_noise,gaussian_noise,1,0.01,fraction_of_uint8_range_std,300,111,75,476,36,23.23939940004493,C:/Users/Pouyan/PycharmProjects/Uni/Deep Learning/DP_Final_Project/results/logs/phase6_robustness/predictions/faster_rcnn__gaussian_noise_s1.json.gz,b84cf22b7f879a8f4be1cb1917324a16b8ba16ba8e091bca086f85391e0afe04,0.13611615245009073,0.9457420981921888,0.054257901807811204,0.6756756756756757,0.974025974025974,0.025974025974025983,0.22658610271903323,0.9504845607564639,0.049515439243536075,0.6942019357188444,1.0031767355492467,-0.0031767355492466898,0.814409578372542,1.0015420386324303,-0.0015420386324302982,0.33501854501401673,0.8869655975324744,0.11303440246752561,0.13092857529824892,0.8858362453253664,0.11416375467463358
faster_rcnn,gaussian_noise_s2,noise,gaussian_noise,gaussian_noise,2,0.02,fraction_of_uint8_range_std,300,111,78,499,33,24.173392899887403,C:/Users/Pouyan/PycharmProjects/Uni/Deep Learning/DP_Final_Project/results/logs/phase6_robustness/predictions/faster_rcnn__gaussian_noise_s2.json.gz,ec904c680774552366c30c2f8d6b5fbb108e63b55a3e1c463d6d508081a90ab6,0.13518197573656845,0.9392513898579756,0.06074861014202437,0.7027027027027027,1.012987012987013,-0.012987012987013102,0.22674418604651164,0.9511476895197825,0.04885231048021754,0.6854372794176468,0.990511113568026,0.009488886431973986,0.8089082559267949,0.9947766396933629,0.005223360306637059,0.2964929961723331,0.784968747038121,0.21503125296187897,0.11768947799349287,0.7962631920692135,0.20373680793078652
faster_rcnn,gaussian_noise_s3,noise,gaussian_noise,gaussian_noise,3,0.035,fraction_of_uint8_range_std,300,111,71,557,40,30.56492340004479,C:/Users/Pouyan/PycharmProjects/Uni/Deep Learning/DP_Final_Project/results/logs/phase6_robustness/predictions/faster_rcnn__gaussian_noise_s3.json.gz,3f509784097951e44ea79d5ee30cb1735cad98c61b892237d4d99ab8a7e5ff4f,0.11305732484076433,0.7855281661014145,0.21447183389858548,0.6396396396396397,0.922077922077922,0.07792207792207795,0.19215155615696888,0.8060383459571551,0.19396165404284493,0.6798091403933663,0.9823780072727395,0.017621992727260505,0.8043560054058553,0.9891783874279385,0.01082161257206149,0.25328857609495836,0.6705845290887253,0.32941547091127465,0.09817504002774396,0.6642324537996206,0.3357675462003794
faster_rcnn,gaussian_noise_s4,noise,gaussian_noise,gaussian_noise,4,0.05,fraction_of_uint8_range_std,300,111,60,588,51,27.753185699955793,C:/Users/Pouyan/PycharmProjects/Uni/Deep Learning/DP_Final_Project/results/logs/phase6_robustness/predictions/faster_rcnn__gaussian_noise_s4.json.gz,db291fcb275df4d8685e2a62a7eb737a6598ed723cbf37bbda7f569223142196,0.09259259259259259,0.6433381433381433,0.3566618566618567,0.5405405405405406,0.7792207792207793,0.22077922077922074,0.15810276679841898,0.663210307479082,0.33678969252091795,0.6986235400223937,1.0095663036891454,-0.00956630368914535,0.8194336634270258,1.0077205420800268,-0.007720542080026815,0.20337603984461128,0.5384404934867614,0.4615595065132386,0.08877351711642327,0.600623652305115,0.39937634769488495
faster_rcnn,gaussian_noise_s5,noise,gaussian_noise,gaussian_noise,5,0.075,fraction_of_uint8_range_std,300,111,59,602,52,23.665394099836703,C:/Users/Pouyan/PycharmProjects/Uni/Deep Learning/DP_Final_Project/results/logs/phase6_robustness/predictions/faster_rcnn__gaussian_noise_s5.json.gz,25bf9df98568081e5cdf6464fa9e535685484da0d3710877f4d0cbd7729854bb,0.08925869894099848,0.6201740770575869,0.37982592294241313,0.5315315315315315,0.7662337662337663,0.23376623376623373,0.1528497409326425,0.641174887288877,0.35882511271112305,0.6746269340852319,0.9748893090429459,0.025110690957054094,0.8019274028809247,0.9861917482866019,0.013808251713398056,0.1715206324670049,0.4541029221498168,0.5458970778501833,0.06862013969988436,0.4642699790093924,0.5357300209906076
faster_rcnn,salt_and_pepper_s1,noise,salt_and_pepper,salt_pepper,1,0.0025,affected_pixel_fraction,300,111,66,352,45,30.14213800006837,C:/Users/Pouyan/PycharmProjects/Uni/Deep Learning/DP_Final_Project/results/logs/phase6_robustness/predictions/faster_rcnn__salt_and_pepper_s1.json.gz,6cb510f589234ed7019df625961d7464a6ab521ad950bbf2c3e37ff0c42684bc,0.15789473684210525,1.097060833902939,-0.09706083390293907,0.5945945945945946,0.8571428571428572,0.1428571428571428,0.24952741020793953,1.0467188765865514,-0.04671887658655138,0.6765904975550464,0.9777268136512449,0.02227318634875508,0.8032360217692869,0.9878010574893035,0.012198942510696531,0.24854798526521663,0.6580337582715966,0.3419662417284034,0.09821033399672503,0.6644712456515414,0.33552875434845864
faster_rcnn,salt_and_pepper_s2,noise,salt_and_pepper,salt_pepper,2,0.005,affected_pixel_fraction,300,111,56,300,55,30.661802999966312,C:/Users/Pouyan/PycharmProjects/Uni/Deep Learning/DP_Final_Project/results/logs/phase6_robustness/predictions/faster_rcnn__salt_and_pepper_s2.json.gz,3263123e7089992a1738095e308248c6e527b6527ec6d8730ad2dc04db49d349,0.15730337078651685,1.0929519918283963,-0.09295199182839631,0.5045045045045045,0.7272727272727272,0.2727272727272728,0.2398286937901499,1.006034650574265,-0.006034650574264999,0.69484317775527,1.0041033810391247,-0.004103381039124665,0.815796813069354,1.0032480277357059,-0.0032480277357058718,0.19604911663212715,0.5190423768094783,0.4809576231905217,0.07833519895599911,0.5300001039645154,0.46999989603548464
faster_rcnn,salt_and_pepper_s3,noise,salt_and_pepper,salt_pepper,3,0.01,affected_pixel_fraction,300,111,39,236,72,17.03554950004036,C:/Users/Pouyan/PycharmProjects/Uni/Deep Learning/DP_Final_Project/results/logs/phase6_robustness/predictions/faster_rcnn__salt_and_pepper_s3.json.gz,2a445a61dee0589ee92106a3c115a098743a798aade275f2e0b303b98a59c3fc,0.14181818181818182,0.9853600944510035,0.014639905548996524,0.35135135135135137,0.5064935064935066,0.49350649350649345,0.20207253886010362,0.8476549357378371,0.15234506426216288,0.6812448330400479,0.9844526967664511,0.015547303233548915,0.8077512718187716,0.9933538074318238,0.0066461925681762235,0.13200227025985978,0.34947758641773446,0.6505224135822656,0.05055536774983207,0.3420473876427594,0.6579526123572406
faster_rcnn,salt_and_pepper_s4,noise,salt_and_pepper,salt_pepper,4,0.02,affected_pixel_fraction,300,111,24,194,87,17.255012499925215,C:/Users/Pouyan/PycharmProjects/Uni/Deep Learning/DP_Final_Project/results/logs/phase6_robustness/predictions/faster_rcnn__salt_and_pepper_s4.json.gz,e506d05bef3a2d5eb2cdd7be99214daddf8b423e300e9d0c93b8e0011545ff3b,0.11009174311926606,0.7649231502442512,0.23507684975574883,0.21621621621621623,0.3116883116883117,0.6883116883116883,0.1458966565349544,0.6120080527375359,0.3879919472624641,0.6848689330154928,0.989689808038557,0.010310191961443005,0.8099532183414966,0.9960617102707572,0.0039382897292428165,0.09765370856229168,0.2585393592542504,0.7414606407457496,0.03669064145133681,0.24824145521933394,0.7517585447806661
faster_rcnn,salt_and_pepper_s5,noise,salt_and_pepper,salt_pepper,5,0.04,affected_pixel_fraction,300,111,22,201,89,24.20061930004158,C:/Users/Pouyan/PycharmProjects/Uni/Deep Learning/DP_Final_Project/results/logs/phase6_robustness/predictions/faster_rcnn__salt_and_pepper_s5.json.gz,99c52d80077a67a78fdcfaff008ce45531eb078e0c2e0a8da60b290e58182d38,0.09865470852017937,0.6854580397181294,0.31454196028187065,0.1981981981981982,0.2857142857142857,0.7142857142857143,0.1317365269461078,0.5526090675791274,0.4473909324208726,0.6603674541103408,0.9542832319984783,0.04571676800152169,0.7905511955023902,0.9722015519132106,0.02779844808678944,0.08792451362718222,0.23278119951187487,0.7672188004881251,0.029929335875712483,0.20249582993497614,0.7975041700650238
faster_rcnn,gaussian_blur_s1,blur,gaussian_blur,gaussian_blur,1,0.5,sigma_pixels,300,111,72,469,39,30.85783379993518,C:/Users/Pouyan/PycharmProjects/Uni/Deep Learning/DP_Final_Project/results/logs/phase6_robustness/predictions/faster_rcnn__gaussian_blur_s1.json.gz,e974413efd02074858acf8c4412e59cbaf01050ec896db806d081744a4ea17e5,0.133086876155268,0.9246945291307582,0.07530547086924178,0.6486486486486487,0.935064935064935,0.06493506493506496,0.22085889570552147,0.9264600430244601,0.07353995697553994,0.6984009483060933,1.0092446410434093,-0.009244641043409274,0.8182576180804949,1.0062742687488089,-0.0062742687488088755,0.34334037666894435,0.9089977461888084,0.09100225381119165,0.1419423941722253,0.9603535150336191,0.0396464849663809
faster_rcnn,gaussian_blur_s2,blur,gaussian_blur,gaussian_blur,2,1.0,sigma_pixels,300,111,77,486,34,30.523428400076227,C:/Users/Pouyan/PycharmProjects/Uni/Deep Learning/DP_Final_Project/results/logs/phase6_robustness/predictions/faster_rcnn__gaussian_blur_s2.json.gz,f35ccaa232750b3a291f74dfbd04be8076d450ce3caf60b88101a5efeb832733,0.13676731793960922,0.950266429840142,0.04973357015985802,0.6936936936936937,1.0,0.0,0.228486646884273,0.9584569732937684,0.041543026706231556,0.6883664020136037,0.9947439275269684,0.005256072473031614,0.8108765989735921,0.9971972623876056,0.002802737612394357,0.33439335633172546,0.8853104030323138,0.11468959696768621,0.1313945272491481,0.8889887819335616,0.11101121806643843
faster_rcnn,gaussian_blur_s3,blur,gaussian_blur,gaussian_blur,3,1.5,sigma_pixels,300,111,74,529,37,18.029028400138486,C:/Users/Pouyan/PycharmProjects/Uni/Deep Learning/DP_Final_Project/results/logs/phase6_robustness/predictions/faster_rcnn__gaussian_blur_s3.json.gz,e8b7e2f6e7e3b8d56e5866fa20ac757bf82f42522c38b41ad8526a34423990a9,0.12271973466003316,0.8526630914690616,0.1473369085309384,0.6666666666666666,0.9610389610389609,0.038961038961039085,0.2072829131652661,0.8695114409400122,0.1304885590599878,0.6860340121000197,0.9913734395188728,0.008626560481127199,0.8097474850994771,0.9958087042942823,0.004191295705717746,0.29933085505396134,0.7924820123069166,0.20751798769308338,0.11311596482982257,0.7653197275151772,0.23468027248482282
faster_rcnn,gaussian_blur_s4,blur,gaussian_blur,gaussian_blur,4,2.0,sigma_pixels,300,111,73,560,38,16.85683390016493,C:/Users/Pouyan/PycharmProjects/Uni/Deep Learning/DP_Final_Project/results/logs/phase6_robustness/predictions/faster_rcnn__gaussian_blur_s4.json.gz,338113f0aeca213f1c38c27f87c52352e27326906932f041965f22764d5f8209,0.11532385466034756,0.8012761330296876,0.1987238669703124,0.6576576576576577,0.9480519480519481,0.051948051948051854,0.19623655913978497,0.8231741376902667,0.1768258623097333,0.6836579327484159,0.9879398168153007,0.012060183184699258,0.8075167693689709,0.9930654217498834,0.006934578250116563,0.2858380324792124,0.7567596034566509,0.24324039654334906,0.11106635871629858,0.7514525073161937,0.24854749268380627
