detector,family,corruption,severity,value,unit,metric,clean_performance,corrupted_performance,relative_performance,relative_degradation
faster_rcnn,noise,salt_and_pepper,4,0.02,affected_pixel_fraction,recall,0.6936936936936937,0.21621621621621623,0.3116883116883117,0.6883116883116883
faster_rcnn,noise,salt_and_pepper,4,0.02,affected_pixel_fraction,f1,0.238390092879257,0.1458966565349544,0.6120080527375359,0.3879919472624641
faster_rcnn,noise,salt_and_pepper,4,0.02,affected_pixel_fraction,iou,0.6920036232087895,0.6848689330154928,0.989689808038557,0.010310191961443005
faster_rcnn,noise,salt_and_pepper,4,0.02,affected_pixel_fraction,dice,0.8131556609292098,0.8099532183414966,0.9960617102707572,0.0039382897292428165
faster_rcnn,noise,salt_and_pepper,4,0.02,affected_pixel_fraction,map_50,0.37771312207151386,0.09765370856229168,0.2585393592542504,0.7414606407457496
faster_rcnn,noise,salt_and_pepper,4,0.02,affected_pixel_fraction,map_50_95,0.1478022331883237,0.03669064145133681,0.24824145521933394,0.7517585447806661
faster_rcnn,noise,salt_and_pepper,5,0.04,affected_pixel_fraction,precision,0.14392523364485982,0.09865470852017937,0.6854580397181294,0.31454196028187065
faster_rcnn,noise,salt_and_pepper,5,0.04,affected_pixel_fraction,recall,0.6936936936936937,0.1981981981981982,0.2857142857142857,0.7142857142857143
faster_rcnn,noise,salt_and_pepper,5,0.04,affected_pixel_fraction,f1,0.238390092879257,0.1317365269461078,0.5526090675791274,0.4473909324208726
faster_rcnn,noise,salt_and_pepper,5,0.04,affected_pixel_fraction,iou,0.6920036232087895,0.6603674541103408,0.9542832319984783,0.04571676800152169
faster_rcnn,noise,salt_and_pepper,5,0.04,affected_pixel_fraction,dice,0.8131556609292098,0.7905511955023902,0.9722015519132106,0.02779844808678944
faster_rcnn,noise,salt_and_pepper,5,0.04,affected_pixel_fraction,map_50,0.37771312207151386,0.08792451362718222,0.23278119951187487,0.7672188004881251
faster_rcnn,noise,salt_and_pepper,5,0.04,affected_pixel_fraction,map_50_95,0.1478022331883237,0.029929335875712483,0.20249582993497614,0.7975041700650238
faster_rcnn,blur,gaussian_blur,1,0.5,sigma_pixels,precision,0.14392523364485982,0.133086876155268,0.9246945291307582,0.07530547086924178
faster_rcnn,blur,gaussian_blur,1,0.5,sigma_pixels,recall,0.6936936936936937,0.6486486486486487,0.935064935064935,0.06493506493506496
faster_rcnn,blur,gaussian_blur,1,0.5,sigma_pixels,f1,0.238390092879257,0.22085889570552147,0.9264600430244601,0.07353995697553994
faster_rcnn,blur,gaussian_blur,1,0.5,sigma_pixels,iou,0.6920036232087895,0.6984009483060933,1.0092446410434093,-0.009244641043409274
faster_rcnn,blur,gaussian_blur,1,0.5,sigma_pixels,dice,0.8131556609292098,0.8182576180804949,1.0062742687488089,-0.0062742687488088755
faster_rcnn,blur,gaussian_blur,1,0.5,sigma_pixels,map_50,0.37771312207151386,0.34334037666894435,0.9089977461888084,0.09100225381119165
faster_rcnn,blur,gaussian_blur,1,0.5,sigma_pixels,map_50_95,0.1478022331883237,0.1419423941722253,0.9603535150336191,0.0396464849663809
faster_rcnn,blur,gaussian_blur,2,1.0,sigma_pixels,precision,0.14392523364485982,0.13676731793960922,0.950266429840142,0.04973357015985802
faster_rcnn,blur,gaussian_blur,2,1.0,sigma_pixels,recall,0.6936936936936937,0.6936936936936937,1.0,0.0
faster_rcnn,blur,gaussian_blur,2,1.0,sigma_pixels,f1,0.238390092879257,0.228486646884273,0.9584569732937684,0.041543026706231556
faster_rcnn,blur,gaussian_blur,2,1.0,sigma_pixels,iou,0.6920036232087895,0.6883664020136037,0.9947439275269684,0.005256072473031614
faster_rcnn,blur,gaussian_blur,2,1.0,sigma_pixels,dice,0.8131556609292098,0.8108765989735921,0.9971972623876056,0.002802737612394357
faster_rcnn,blur,gaussian_blur,2,1.0,sigma_pixels,map_50,0.37771312207151386,0.33439335633172546,0.8853104030323138,0.11468959696768621
