detector,family,severity,metric,corruption_type_count,mean_corrupted_performance,mean_relative_performance,mean_relative_degradation
faster_rcnn,compression,5,map_50,1,0.2564456331588125,0.6789428753557011,0.3210571246442989
faster_rcnn,compression,5,map_50_95,1,0.10088041671252924,0.682536484979841,0.317463515020159
faster_rcnn,compression,5,precision,1,0.11074380165289256,0.7694536868090587,0.23054631319094132
faster_rcnn,compression,5,recall,1,0.6036036036036037,0.8701298701298702,0.1298701298701298
faster_rcnn,lighting,1,dice,2,0.814305070536669,1.0014135173161627,-0.0014135173161626824
faster_rcnn,lighting,1,f1,2,0.23256317064728277,0.9755571963515887,0.024442803648411338
faster_rcnn,lighting,1,iou,2,0.6933954899723775,1.0020113576243057,-0.0020113576243055986
faster_rcnn,lighting,1,map_50,2,0.3719223021587261,0.9846687351473815,0.015331264852618431
faster_rcnn,lighting,1,map_50_95,2,0.14649437642405805,0.9911513057952295,0.008848694204770469
faster_rcnn,lighting,1,precision,2,0.14045387116119054,0.9758807931329472,0.024119206867052767
faster_rcnn,lighting,1,recall,2,0.6756756756756757,0.974025974025974,0.025974025974025983
faster_rcnn,lighting,2,dice,2,0.8079788900185405,0.9936337270225069,0.006366272977493204
faster_rcnn,lighting,2,f1,2,0.2386073641997813,1.0009114108640176,-0.0009114108640175256
faster_rcnn,lighting,2,iou,2,0.6847856591555816,0.9895694707207767,0.010430529279223333
faster_rcnn,lighting,2,map_50,2,0.36997769051077667,0.9795203525937534,0.020479647406246637
faster_rcnn,lighting,2,map_50_95,2,0.14430447899323767,0.9763349029332369,0.023665097066763063
faster_rcnn,lighting,2,precision,2,0.14428592753715908,1.0025061199010403,-0.0025061199010403268
faster_rcnn,lighting,2,recall,2,0.6891891891891893,0.9935064935064936,0.00649350649350644
faster_rcnn,lighting,3,dice,2,0.8168587618661933,1.0045539877724665,-0.004553987772466406
faster_rcnn,lighting,3,f1,2,0.2282860709827002,0.957615596459898,0.04238440354010192
faster_rcnn,lighting,3,iou,2,0.6965971963550173,1.0066380767270084,-0.006638076727008335
faster_rcnn,lighting,3,map_50,2,0.3406299437285628,0.901821842620734,0.09817815737926605
faster_rcnn,lighting,3,map_50_95,2,0.13580000656409238,0.9187953634710069,0.08120463652899312
faster_rcnn,lighting,3,precision,2,0.13813887934981683,0.959796109768208,0.04020389023179205
faster_rcnn,lighting,3,recall,2,0.6576576576576577,0.9480519480519481,0.051948051948051854
faster_rcnn,lighting,4,dice,2,0.8096873195677318,0.9957347141167109,0.004265285883289116
faster_rcnn,lighting,4,f1,2,0.2265444084861561,0.9503096615717974,0.049690338428202585
faster_rcnn,lighting,4,iou,2,0.6875518407166721,0.9935668219893492,0.006433178010650742
faster_rcnn,lighting,4,map_50,2,0.32611179496851184,0.8633848704540581,0.1366151295459419
faster_rcnn,lighting,4,map_50_95,2,0.13026192645758514,0.881325834174715,0.11867416582528495
faster_rcnn,lighting,4,precision,2,0.13690775945276762,0.9512422247692296,0.048757775230770406
faster_rcnn,lighting,4,recall,2,0.6576576576576576,0.948051948051948,0.051948051948051965
faster_rcnn,lighting,5,dice,2,0.8171408896199285,1.0049009419502346,-0.004900941950234605
faster_rcnn,lighting,5,f1,2,0.21368367156037377,0.896361375506503,0.10363862449349709
faster_rcnn,lighting,5,iou,2,0.6975887245349357,1.0080709134155228,-0.008070913415522907
faster_rcnn,lighting,5,map_50,2,0.2927389042890449,0.7750297439590133,0.2249702560409867
faster_rcnn,lighting,5,map_50_95,2,0.11365545926787807,0.7689698377091693,0.23103016229083073
faster_rcnn,lighting,5,precision,2,0.1298860303027015,0.9024548858694195,0.09754511413058059
faster_rcnn,lighting,5,recall,2,0.6081081081081081,0.8766233766233766,0.12337662337662342
faster_rcnn,noise,1,dice,2,0.8088228000709144,0.9946715480608669,0.005328451939133116
faster_rcnn,noise,1,f1,2,0.2380567564634864,0.9986017186715077,0.0013982813284923457
faster_rcnn,noise,1,iou,2,0.6853962166369454,0.9904517746002458,0.009548225399754195
faster_rcnn,noise,1,map_50,2,0.29178326513961667,0.7724996779020354,0.2275003220979645
faster_rcnn,noise,1,map_50_95,2,0.11456945464748697,0.7751537454884538,0.2248462545115461
faster_rcnn,noise,1,precision,2,0.147005444646098,1.0214014660475639,-0.021401466047563933
faster_rcnn,noise,1,recall,2,0.6351351351351351,0.9155844155844156,0.08441558441558439
faster_rcnn,noise,2,dice,2,0.8123525344980744,0.9990123337145345,0.0009876662854655938
faster_rcnn,noise,2,f1,2,0.23328643991833076,0.9785911700470238,0.02140882995297627
faster_rcnn,noise,2,iou,2,0.6901402285864584,0.9973072473035753,0.0026927526964246606
faster_rcnn,noise,2,map_50,2,0.24627105640223013,0.6520055619237997,0.34799443807620034
faster_rcnn,noise,2,map_50_95,2,0.098012338474746,0.6631316480168644,0.3368683519831356
faster_rcnn,noise,2,precision,2,0.14624267326154267,1.016101690843186,-0.016101690843185967
faster_rcnn,noise,2,recall,2,0.6036036036036037,0.8701298701298701,0.12987012987012986
faster_rcnn,noise,3,dice,2,0.8060536386123134,0.9912660974298811,0.008733902570118857
faster_rcnn,noise,3,f1,2,0.19711204750853625,0.8268466408474962,0.1731533591525039
faster_rcnn,noise,3,iou,2,0.6805269867167071,0.9834153520195953,0.01658464798040471
faster_rcnn,noise,3,map_50,2,0.19264542317740907,0.5100310577532299,0.4899689422467701
faster_rcnn,noise,3,map_50_95,2,0.07436520388878802,0.50313992072119,0.49686007927881
faster_rcnn,noise,3,precision,2,0.12743775332947307,0.885444130276209,0.114555869723791
faster_rcnn,noise,3,recall,2,0.49549549549549554,0.7142857142857143,0.2857142857142857
