detector,threshold,seed_count,precision,precision_std,precision_mean_plus_minus_std,recall,recall_std,recall_mean_plus_minus_std,f1,f1_std,f1_mean_plus_minus_std
faster_rcnn,0.91,3,0.5343137254901961,0.5035199055360667,0.534314 ± 0.50352,0.05597014925373134,0.08434816832430832,0.0559701 ± 0.0843482,0.09115312791783381,0.13322464876724402,0.0911531 ± 0.133225
faster_rcnn,0.92,3,0.5466666666666667,0.5064911976859354,0.546667 ± 0.506491,0.04228855721393035,0.06688721223755598,0.0422886 ± 0.0668872,0.07202422548334497,0.11216447396246171,0.0720242 ± 0.112164
faster_rcnn,0.93,3,0.5609756097560976,0.5110323619452918,0.560976 ± 0.511032,0.03731343283582089,0.05828544534258697,0.0373134 ± 0.0582854,0.06534819609253266,0.10062939264877996,0.0653482 ± 0.100629
faster_rcnn,0.94,3,0.1923076923076923,0.3330866937632456,0.192308 ± 0.333087,0.01865671641791045,0.032314380738225325,0.0186567 ± 0.0323144,0.034013605442176874,0.058913292774451606,0.0340136 ± 0.0589133
faster_rcnn,0.95,3,0.1875,0.3247595264191645,0.1875 ± 0.32476,0.011194029850746268,0.019388628442935197,0.011194 ± 0.0193886,0.02112676056338028,0.03659262269511712,0.0211268 ± 0.0365926
faster_rcnn,0.96,3,0.2380952380952381,0.41239304942116123,0.238095 ± 0.412393,0.006218905472636815,0.010771460246075107,0.00621891 ± 0.0107715,0.012121212121212121,0.02099455524325912,0.0121212 ± 0.0209946
faster_rcnn,0.97,3,0.2222222222222222,0.3849001794597505,0.222222 ± 0.3849,0.0024875621890547263,0.0043085840984300435,0.00248756 ± 0.00430858,0.004920049200492005,0.008521775190990786,0.00492005 ± 0.00852178
faster_rcnn,0.98,3,0.0,0.0,0 ± 0,0.0,0.0,0 ± 0,0.0,0.0,0 ± 0
faster_rcnn,0.99,3,0.0,0.0,0 ± 0,0.0,0.0,0 ± 0,0.0,0.0,0 ± 0
yolo11s,0.01,3,0.25474635027058345,0.036027483820113414,0.254746 ± 0.0360275,0.33208955223880593,0.05290092118939488,0.33209 ± 0.0529009,0.2840118125524006,0.00679947892140195,0.284012 ± 0.00679948
